"mean";"median";"sd";"best";"worst";"score"
25.42;19.42;22.2;0;119.32;NA
15.38;11.84;19.08;0;118.56;NA
10.21;4.89;17.01;0;153.94;NA
8.76;2.12;21.08;0;116.56;NA
6.77;1.6;20.22;0;117.74;NA
6.23;1.52;21.23;0;116.56;NA
6.09;0.74;21.87;0;116.56;NA
5.22;0.14;19.8;0;119.64;NA
5.42;0.04;20.58;0;116.56;NA
4.4;0.01;17.33;0;116.56;NA
4.62;0;18.64;0;116.56;NA
5.16;0;20.27;0;158.26;NA
5.65;0;22.2;0;155.07;NA
5.22;0;20.67;0;129.68;NA
4.28;0;17.04;0;151.58;NA
4.46;0;18.53;0;119.16;NA
5.03;0;20.75;0;119.05;NA
5.12;0;20.08;0;116.56;NA
4.41;0;17.65;0;116.56;NA
5.68;0;21.8;0;116.56;NA
5.62;0;21.55;0;144.74;NA
5.03;0;19.8;0;120.92;NA
5.79;0;23.11;0;157.24;NA
4.26;0;17.63;0;116.56;NA
4.99;0;20.78;0;158.23;NA
5.01;0;19.12;0;121.46;NA
4.98;0;20.35;0;117.44;NA
4.36;0;17.23;0;116.56;NA
4.77;0;19.04;0;116.56;NA
4.73;0;19.45;0;116.56;NA
4.22;0;17.04;0;166.18;NA
6.09;0;22.86;0;116.56;NA
4.26;0;18.13;0;116.56;NA
4.1;0;16.57;0;116.56;NA
4.86;0;19.82;0;116.56;NA
5.55;0;21.07;0;116.56;NA
4.79;0;19.61;0;119.01;NA
4.43;0;17.9;0;116.56;NA
4.15;0;17.1;0;172.33;NA
5.43;0;20.45;0;129;NA
5.14;0;20.78;0;152.89;NA
4.82;0;18.9;0;118.06;NA
5.17;0;21.03;0;116.56;NA
4.64;0;18.31;0;116.56;NA
5.66;0;21.76;0;116.56;NA
4.77;0;19.21;0;127.57;NA
5.12;0;19.97;0;116.56;NA
5.03;0;19.86;0;126.15;NA
5.25;0;20.36;0;122.37;NA
3.88;0;16.66;0;116.56;NA
4.73;0;18.85;0;116.56;NA
4.7;0;18.78;0;116.56;NA
4.64;0;18.94;0;116.56;NA
5.44;0;21.54;0;135;NA
4.97;0;20;0;116.56;NA
5.97;0;22.59;0;180.12;NA
4.27;0;17.35;0;116.56;NA
5.22;0;19.65;0;120.59;NA
4.68;0;18.87;0;116.56;NA
4.38;0;18.16;0;116.56;NA
5.07;0;20.25;0;116.56;NA
5.51;0;21.15;0;116.56;NA
4.53;0;18.17;0;116.56;NA
4.87;0;19.48;0;128.16;NA
5.03;0;19.76;0;124.83;NA
5.33;0;20.31;0;118.16;NA
4.24;0;18.25;0;116.56;NA
4.27;0;17.05;0;116.56;NA
5.33;0;20.03;0;116.56;NA
5.23;0;21.04;0;171.53;NA
5.33;0;20.93;0;153.52;NA
5.65;0;21.41;0;121.08;NA
4.48;0;18.24;0;116.56;NA
4.95;0;19.32;0;124.66;NA
4.19;0;17.13;0;116.56;NA
3.86;0;16.37;0;116.56;NA
5.22;0;20.85;0;116.56;NA
4.83;0;19.43;0;116.56;NA
5.47;0;22.45;0;207.34;NA
4.56;0;18.59;0;116.56;NA
5.03;0;19.66;0;116.56;NA
4.77;0;19.3;0;116.56;NA
4.09;0;16.75;0;116.56;NA
4.49;0;18.25;0;119.46;NA
4.64;0;18.01;0;116.56;NA
5.44;0;21.61;0;127.42;NA
5.28;0;20.15;0;116.56;NA
4.16;0;17.2;0;116.56;NA
5.3;0;20.2;0;152.44;NA
4.97;0;19.78;0;123.84;NA
4.03;0;16.14;0;116.56;NA
5.07;0;21.11;0;181.29;NA
5.46;0;21.13;0;116.75;NA
5.47;0;21.45;0;116.56;NA
4.72;0;19.26;0;116.56;NA
4.77;0;18.14;0;116.56;NA
5.35;0;21.09;0;134.24;NA
5.74;0;21.5;0;132.13;NA
4.88;0;19.76;0;144.35;NA
4.18;0;17.26;0;116.56;NA
