"exp";"alg";"sco";"best";"iter";"mean";"median";"sd"
"1";"hc";"k2";"0.408446330659228";"100";"3.94";"0.41";"11.42"
"1";"hc";"aic";"0.0158685411068262";"100";"3.53";"0.02";"11.18"
"1";"hc";"bic";"0.000198391438630097";"100";"3.52";"0";"11.41"
"1";"hc";"bds";"0.00733966503273464";"100";"3.47";"0.01";"11.29"
"1";"tabu";"k2";"0.0103153807611065";"100";"3.22";"0.01";"10.6"
"1";"tabu";"aic";"0.0103153807611065";"100";"3.62";"0.01";"11.48"
"1";"tabu";"bic";"0.000396782877256641";"100";"3.68";"0";"11.72"
"1";"tabu";"bds";"0.000396782877256641";"100";"3.68";"0";"11.53"
"2";"hc";"k2";"0.136990665088323";"100";"3.82";"0.14";"11.6"
"2";"hc";"aic";"0.0337155896065013";"100";"3.6";"0.03";"11.31"
"2";"hc";"bic";"0.00357095238382144";"100";"3.7";"0";"11.81"
"2";"hc";"bds";"0";"100";"4.02";"0";"12.55"
"2";"tabu";"k2";"0.288566097020041";"100";"3.82";"0.29";"11.17"
"2";"tabu";"aic";"0.0515393881488393";"100";"3.91";"0.05";"12.14"
"2";"tabu";"bic";"0.00515778778131448";"100";"3.27";"0.01";"10.47"
"2";"tabu";"bds";"0";"100";"3.63";"0";"11.61"
"3";"hc";"k2";"1.10203256144024";"100";"4.4";"1.1";"10.71"
"3";"hc";"aic";"0.0128928253784544";"100";"3.45";"0.01";"11.21"
"3";"hc";"bic";"0.000396782877256641";"100";"3.41";"0";"10.82"
"3";"hc";"bds";"0.00634821433400035";"100";"3.5";"0.01";"11.05"
"3";"tabu";"k2";"0.156977482449847";"100";"3.52";"0.16";"11.18"
"3";"tabu";"aic";"0.0907908156897115";"100";"3.47";"0.09";"10.88"
"3";"tabu";"bic";"0";"100";"3.35";"0";"10.81"
"3";"tabu";"bds";"0.0543250071879555";"100";"3.68";"0.05";"11.7"
"4";"hc";"k2";"0.0586926242855625";"100";"3.58";"0.06";"11.25"
"4";"hc";"aic";"0.178225884151743";"100";"3.75";"0.18";"11.38"
"4";"hc";"bic";"0.00178547619191249";"100";"3.29";"0";"10.81"
"4";"hc";"bds";"0.000793557961841884";"100";"3.35";"0";"10.82"
"4";"tabu";"k2";"0.300632626103429";"100";"3.87";"0.3";"11.37"
"4";"tabu";"aic";"0.00991804465738255";"100";"3.58";"0.01";"11.6"
"4";"tabu";"bic";"0.000198391438630097";"100";"3.58";"0";"11.33"
"4";"tabu";"bds";"0.0168609268128606";"100";"3.73";"0.02";"11.86"
"5";"hc";"k2";"0.716279595077594";"100";"3.96";"0.72";"10.71"
"5";"hc";"aic";"0.0358982146275366";"100";"3.63";"0.04";"11.34"
"5";"hc";"bic";"0.00198386763053904";"100";"3.29";"0";"10.7"
"5";"hc";"bds";"0.000198391438630097";"100";"3.23";"0";"10.54"
"5";"tabu";"k2";"0.482327238046565";"100";"3.94";"0.48";"11.08"
"5";"tabu";"aic";"0";"100";"3.45";"0";"10.89"
"5";"tabu";"bic";"0.00198386763053904";"100";"3.73";"0";"11.87"
"5";"tabu";"bds";"0.00198386763053904";"100";"3.34";"0";"10.78"
"6";"hc";"k2";"1.05908570257251";"100";"4.58";"1.06";"11.27"
"6";"hc";"aic";"0.0590665722219228";"100";"3.51";"0.06";"11.13"
"6";"hc";"bic";"0.0031741071669984";"100";"3.47";"0";"11.17"
"6";"hc";"bds";"0.00198386763053904";"100";"3.4";"0";"10.89"
"6";"tabu";"k2";"0.697427672852832";"100";"3.89";"0.7";"10.34"
"6";"tabu";"aic";"0.118112895423501";"100";"3.68";"0.12";"11.35"
"6";"tabu";"bic";"0.00198386763053904";"100";"3.26";"0";"10.64"
"6";"tabu";"bds";"0.00178547619191249";"100";"3.63";"0";"11.61"
"7";"hc";"k2";"0.139807092958868";"100";"3.51";"0.14";"10.99"
"7";"hc";"aic";"0.0515543425081049";"100";"3.34";"0.05";"10.65"
"7";"hc";"bic";"0";"100";"3.79";"0";"11.91"
"7";"hc";"bds";"0.000198391438630097";"100";"3.56";"0";"11.29"
"7";"tabu";"k2";"0.158899643606798";"100";"3.47";"0.16";"11.05"
"7";"tabu";"aic";"0.0317291045608599";"100";"3.78";"0.03";"11.85"
"7";"tabu";"bic";"0.000198391438630097";"100";"3.75";"0";"12.02"
"7";"tabu";"bds";"0.000198391438630097";"100";"3.47";"0";"11.18"
"8";"hc";"k2";"0.0891501654968465";"100";"3.31";"0.09";"10.4"
"8";"hc";"aic";"0.0210248952529355";"100";"3.43";"0.02";"11.13"
"8";"hc";"bic";"0.000396782877256641";"100";"3.72";"0";"11.82"
"8";"hc";"bds";"0.190721926652941";"100";"3.42";"0.19";"10.77"
"8";"tabu";"k2";"0.884410121361334";"100";"4.06";"0.88";"10.57"
"8";"tabu";"aic";"0.0105132111805943";"100";"3.39";"0.01";"11.07"
"8";"tabu";"bic";"0.00337249860562849";"100";"3.54";"0";"11.18"
"8";"tabu";"bds";"0.0382746506126139";"100";"3.69";"0.04";"11.67"
"9";"hc";"k2";"0.635381144145679";"100";"4.12";"0.64";"11.17"
"9";"hc";"aic";"0.103248923242973";"100";"3.7";"0.1";"11.4"
"9";"hc";"bic";"0.00515778778131448";"100";"3.7";"0.01";"11.75"
"9";"hc";"bds";"0.000793557961841884";"100";"3.61";"0";"11.59"
"9";"tabu";"k2";"0.456369239260582";"100";"3.9";"0.46";"11.19"
"9";"tabu";"aic";"0.0247894943495908";"100";"3.51";"0.02";"11.31"
"9";"tabu";"bic";"0.000198391438630097";"100";"3.77";"0";"12.05"
"9";"tabu";"bds";"0.0115051294106649";"100";"3.74";"0.01";"11.89"
"10";"hc";"k2";"0.606424142749127";"100";"4.13";"0.61";"11.34"
"10";"hc";"aic";"0.00495958335891089";"100";"3.79";"0";"11.96"
"10";"hc";"bic";"0.00813350350968278";"100";"3.69";"0.01";"11.71"
"10";"hc";"bds";"0.0460011821623851";"100";"3.62";"0.05";"11.59"
"10";"tabu";"k2";"0.43643393634914";"100";"4.12";"0.44";"11.75"
"10";"tabu";"aic";"0.00813350350968278";"100";"3.52";"0.01";"11.27"
"10";"tabu";"bic";"0";"100";"3.47";"0";"11.19"
"10";"tabu";"bds";"0.00515778778131448";"100";"3.56";"0.01";"11.54"
"11";"hc";"k2";"0.0293485553557034";"100";"3.55";"0.03";"11.29"
"11";"hc";"aic";"0.0448037454078296";"100";"3.71";"0.04";"11.83"
"11";"hc";"bic";"0";"100";"3.11";"0";"9.96"
"11";"hc";"bds";"0.00575295430452627";"100";"3.43";"0.01";"10.99"
"11";"tabu";"k2";"0.49272839501031";"100";"4.46";"0.49";"12.44"
"11";"tabu";"aic";"0";"100";"3.59";"0";"11.38"
"11";"tabu";"bic";"0.000396782877256641";"100";"3.57";"0";"11.32"
"11";"tabu";"bds";"0.00733966503273464";"100";"3.67";"0.01";"11.76"
"12";"hc";"k2";"0.891300153919715";"100";"4.17";"0.89";"10.42"
"12";"hc";"aic";"0.791931840223697";"100";"4.41";"0.79";"11.7"
"12";"hc";"bic";"0.000793557961841884";"100";"3.64";"0";"11.71"
"12";"hc";"bds";"0.000793557961841884";"100";"3.54";"0";"11.27"
"12";"tabu";"k2";"0.00337249860562849";"100";"3.93";"1.09";"10.95"
"12";"tabu";"aic";"0.00396766512884028";"100";"3.3";"0";"10.67"
"12";"tabu";"bic";"0.000793557961841884";"100";"3.4";"0";"10.97"
"12";"tabu";"bds";"0.000793557961841884";"100";"3.74";"0";"11.94"
"13";"hc";"k2";"0.0412494313336893";"100";"3.15";"0.04";"10"
"13";"hc";"aic";"0.0103153807611065";"100";"3.26";"0.01";"10.62"
"13";"hc";"bic";"0.000991949400468428";"100";"3.4";"0";"11.09"
"13";"hc";"bds";"0.000396782877256641";"100";"3.52";"0";"11.35"
"13";"tabu";"k2";"0.996959583358908";"100";"4.65";"1";"11.63"
"13";"tabu";"aic";"0.0216181919091945";"100";"3.28";"0.02";"10.53"
"13";"tabu";"bic";"0.00257903415375083";"100";"3.36";"0";"10.94"
"13";"tabu";"bds";"0.000793557961841884";"100";"3.52";"0";"11.22"
"14";"hc";"k2";"0.852746695764139";"100";"4.21";"1";"10.45"
"14";"hc";"aic";"0.816847620905822";"100";"3.95";"0.82";"10.09"
"14";"hc";"bic";"0.00991804465738255";"100";"3.56";"0.01";"11.24"
"14";"hc";"bds";"0.0128937603857544";"100";"3.64";"0.01";"11.68"
"14";"tabu";"k2";"0.0406453847601895";"100";"3.52";"0.04";"11.14"
