"mean";"median";"sd";"best";"worst";"score"
27.56;28.73;11.42;1.21;52.5;NA
21.99;22.57;10.68;1.21;52.5;NA
17.79;16.67;10.91;1.21;52.5;NA
13.31;12.3;9.83;1.11;52.5;NA
10.64;7.83;9.97;0.99;52.5;NA
8.41;5.03;10.53;0.34;52.5;NA
6.93;3.54;10.83;0.13;52.5;NA
5.52;2.64;9.66;0.13;52.5;NA
5.46;1.95;11.38;0.13;52.5;NA
4.85;1.53;10.7;0.07;52.5;NA
4.53;1.21;10.78;0.06;52.5;NA
4.58;1.2;11.52;0.06;52.5;NA
4.22;0.99;11.15;0.06;52.5;NA
3.96;0.71;11.06;0.06;52.5;NA
3.9;0.44;11.36;0.06;52.5;NA
3.87;0.13;11.65;0.06;52.5;NA
3.46;0.13;10.83;0.06;52.5;NA
3.77;0.07;11.86;0.06;52.5;NA
3.59;0.07;11.13;0.06;52.5;NA
3.29;0.07;10.58;0.06;52.5;NA
3.5;0.07;11.1;0.06;52.5;NA
3.66;0.06;11.56;0.06;52.5;NA
3.83;0.06;11.92;0.06;52.5;NA
3.25;0.06;10.48;0.06;52.5;NA
3.84;0.06;11.83;0.06;52.5;NA
3.83;0.06;11.76;0.06;52.5;NA
3.56;0.06;11.35;0.06;52.5;NA
3.6;0.06;11.39;0.06;52.5;NA
3.5;0.06;11.01;0.06;52.5;NA
3.48;0.06;10.95;0.06;52.5;NA
3.29;0.06;10.6;0.06;52.5;NA
3.78;0.06;11.9;0.06;52.5;NA
3.25;0.06;10.51;0.06;52.5;NA
3.64;0.06;11.35;0.06;52.5;NA
3.6;0.06;11.5;0.06;52.5;NA
3.28;0.06;10.57;0.06;52.5;NA
3.49;0.06;11.15;0.06;52.5;NA
3.7;0.06;11.36;0.06;52.5;NA
3.75;0.06;11.71;0.06;52.5;NA
3.31;0.06;10.56;0.06;52.5;NA
3.85;0.06;12.01;0.06;52.5;NA
3.66;0.06;11.39;0.06;52.5;NA
3.48;0.06;11.03;0.06;52.5;NA
3.86;0.06;12.02;0.06;52.5;NA
3.54;0.06;11.11;0.06;52.5;NA
3.57;0.06;11.39;0.06;52.5;NA
3.29;0.06;10.44;0.06;52.5;NA
3.61;0.06;11.53;0.06;52.5;NA
3.26;0.06;10.47;0.06;52.5;NA
3.57;0.06;11.34;0.06;52.5;NA
3.55;0.06;11.34;0.06;52.5;NA
3.62;0.06;11.47;0.06;52.5;NA
3.38;0.06;10.72;0.06;52.5;NA
3.71;0.06;11.61;0.06;52.5;NA
3.64;0.06;11.34;0.06;52.5;NA
3.38;0.06;10.76;0.06;52.5;NA
3.62;0.06;11.51;0.06;52.5;NA
3.73;0.06;11.65;0.06;52.5;NA
3.83;0.06;11.86;0.06;52.5;NA
3.47;0.06;10.96;0.06;52.5;NA
3.7;0.06;11.65;0.06;52.5;NA
3.93;0.06;12.2;0.06;52.5;NA
3.69;0.06;11.46;0.06;52.5;NA
3.84;0.06;11.83;0.06;52.5;NA
3.53;0.06;11.2;0.06;52.5;NA
3.74;0.06;11.76;0.06;52.5;NA
3.27;0.06;10.6;0.06;52.5;NA
3.91;0.06;12.12;0.06;52.5;NA
3.49;0.06;10.92;0.06;52.5;NA
3.64;0.06;11.25;0.06;52.5;NA
3.55;0.06;11.2;0.06;52.5;NA
3.61;0.06;11.36;0.06;52.5;NA
3.41;0.06;10.91;0.06;52.5;NA
3.85;0.06;11.99;0.06;52.5;NA
3.46;0.06;10.94;0.06;52.5;NA
3.47;0.06;11.01;0.06;52.5;NA
3.75;0.06;11.87;0.06;52.5;NA
3.38;0.06;10.82;0.06;52.5;NA
3.75;0.06;11.68;0.06;52.5;NA
3.43;0.06;10.77;0.06;52.5;NA
3.45;0.06;10.88;0.06;52.5;NA
3.52;0.06;11.26;0.06;52.5;NA
3.91;0.06;12.2;0.06;52.5;NA
3.37;0.06;10.82;0.06;52.5;NA
3.5;0.06;11.25;0.06;52.5;NA
3.65;0.06;11.52;0.06;52.5;NA
3.67;0.06;11.69;0.06;52.5;NA
3.49;0.06;10.95;0.06;52.5;NA
3.45;0.06;10.94;0.06;52.5;NA
3.6;0.06;11.25;0.06;52.5;NA
3.62;0.06;11.71;0.06;52.5;NA
3.8;0.06;11.68;0.06;52.5;NA
3.44;0.06;10.93;0.06;52.5;NA
3.52;0.06;11.08;0.06;52.5;NA
3.35;0.06;10.66;0.06;52.5;NA
3.43;0.06;10.82;0.06;52.5;NA
3.7;0.06;11.68;0.06;52.5;NA
3.77;0.06;11.71;0.06;52.5;NA
3.42;0.06;10.9;0.06;52.5;NA
3.51;0.06;11.13;0.06;52.5;NA
