"mean";"median";"sd";"best";"worst";"score"
26.44;27.94;11.08;1.2;52.5;NA
21.17;22.9;11.19;1.2;52.5;NA
16.53;15.36;10.56;0.8;52.5;NA
12.7;9.65;10.49;0.11;52.5;NA
9.6;7.15;9.85;0.11;52.5;NA
7.85;5.08;10.03;0.11;52.5;NA
6.89;3.31;11.14;0.07;52.5;NA
5.84;2.6;11.09;0.03;52.5;NA
4.98;2.06;10.34;0.02;52.5;NA
4.82;1.53;11.08;0.02;52.5;NA
4.63;1.13;11.83;0.01;52.5;NA
4.34;0.68;11.85;0.01;52.5;NA
4.05;0.22;11.63;0.01;52.5;NA
3.81;0.12;11.7;0.01;52.5;NA
3.44;0.07;11.07;0;52.5;NA
3.79;0.03;11.82;0;52.5;NA
3.44;0.02;10.85;0;52.5;NA
3.69;0.02;11.77;0;52.5;NA
3.59;0.02;11.54;0;52.5;NA
3.63;0.02;11.61;0;52.5;NA
3.46;0.01;10.95;0;52.5;NA
3.36;0.01;10.72;0;52.5;NA
3.61;0;11.5;0;52.5;NA
3.48;0;11.17;0;52.5;NA
3.39;0;10.99;0;52.5;NA
3.86;0;12.28;0;52.5;NA
3.46;0;11.09;0;52.5;NA
3.62;0;11.73;0;52.5;NA
3.53;0;11.53;0;52.5;NA
3.66;0;11.67;0;52.5;NA
3.56;0;11.36;0;52.5;NA
3.75;0;12.08;0;52.5;NA
3.61;0;11.38;0;52.5;NA
3.73;0;11.78;0;52.5;NA
3.27;0;10.73;0;52.5;NA
3.67;0;11.64;0;52.5;NA
3.59;0;11.66;0;52.5;NA
3.75;0;11.73;0;52.5;NA
3.52;0;11.31;0;52.5;NA
3.6;0;11.4;0;52.5;NA
3.08;0;10.07;0;52.5;NA
3.75;0;11.93;0;52.5;NA
3.39;0;11;0;52.5;NA
3.46;0;11.17;0;52.5;NA
3.51;0;11.36;0;52.5;NA
3.27;0;10.61;0;52.5;NA
3.49;0;11.3;0;52.5;NA
3.55;0;11.37;0;52.5;NA
3.57;0;11.48;0;52.5;NA
3.43;0;10.84;0;52.5;NA
3.93;0;12.22;0;52.5;NA
3.28;0;10.63;0;52.5;NA
3.56;0;11.61;0;52.5;NA
3.66;0;11.6;0;52.5;NA
3.72;0;11.79;0;52.5;NA
3.6;0;11.65;0;52.5;NA
3.8;0;12.07;0;52.5;NA
3.7;0;11.84;0;52.5;NA
3.42;0;11.1;0;52.5;NA
3.21;0;10.61;0;52.5;NA
3.62;0;11.59;0;52.5;NA
3.45;0;11;0;52.5;NA
3.38;0;11.17;0;52.5;NA
3.64;0;11.51;0;52.5;NA
3.46;0;11.27;0;52.5;NA
3.57;0;11.36;0;52.5;NA
3.45;0;11.05;0;52.5;NA
3.53;0;11.26;0;52.5;NA
3.78;0;11.98;0;52.5;NA
3.6;0;11.38;0;52.5;NA
3.58;0;11.51;0;52.5;NA
3.46;0;11.15;0;52.5;NA
3.3;0;10.49;0;52.5;NA
3.37;0;10.94;0;52.5;NA
3.82;0;12.19;0;52.5;NA
3.28;0;10.62;0;52.5;NA
3.27;0;10.69;0;52.5;NA
3.75;0;11.88;0;52.5;NA
3.62;0;11.55;0;52.5;NA
3.45;0;11.11;0;52.5;NA
3.62;0;11.45;0;52.5;NA
3.32;0;10.76;0;52.5;NA
3.28;0;10.58;0;52.5;NA
3.1;0;10.12;0;52.5;NA
3.64;0;11.48;0;52.5;NA
3.51;0;11.13;0;52.5;NA
3.29;0;10.76;0;52.5;NA
3.39;0;11.13;0;52.5;NA
3.66;0;11.63;0;52.5;NA
3.46;0;11.18;0;52.5;NA
3.44;0;11.04;0;52.5;NA
3.31;0;11.04;0;52.5;NA
3.29;0;10.64;0;52.5;NA
3.63;0;11.78;0;52.5;NA
3.54;0;11.51;0;52.5;NA
3.34;0;10.93;0;52.5;NA
3.35;0;11.13;0;52.5;NA
3.42;0;11.04;0;52.5;NA
3.49;0;11.2;0;52.5;NA
3.44;0;11.19;0;52.5;NA
