"mean";"median";"sd";"best";"worst";"score"
29.46;30.39;11.43;1.93;52.5;NA
23.82;25.84;10.7;0.54;52.5;NA
19.34;19.61;10.37;0.54;52.5;NA
15.3;13.46;10.08;0.54;52.5;NA
11.93;9.77;9.76;0.01;52.5;NA
9.32;7.11;9.52;0.01;52.5;NA
8.01;5.18;10.59;0.01;52.5;NA
6.24;3.62;9.87;0.01;52.5;NA
5.54;2.32;10.76;0.01;52.5;NA
4.73;1.45;10.69;0.01;52.5;NA
4.68;1.03;11.79;0.01;52.5;NA
4.25;0.6;11.83;0.01;52.5;NA
4.03;0.28;11.82;0;52.5;NA
3.46;0.12;10.9;0;52.5;NA
3.75;0.06;11.69;0;52.5;NA
3.65;0.02;11.53;0;52.5;NA
3.97;0.01;12.39;0;52.5;NA
3.63;0.01;11.57;0;52.5;NA
3.5;0.01;11.44;0;52.5;NA
3.33;0.01;10.8;0;52.5;NA
3.67;0;11.64;0;52.5;NA
3.59;0;11.56;0;52.5;NA
3.46;0;11.11;0;52.5;NA
3.36;0;11.06;0;52.5;NA
3.53;0;11.12;0;52.5;NA
3.42;0;11.1;0;52.5;NA
3.43;0;11.18;0;52.5;NA
3.67;0;11.8;0;52.5;NA
3.81;0;12;0;52.5;NA
3.57;0;11.32;0;52.5;NA
3.71;0;11.78;0;52.5;NA
3.44;0;11.07;0;52.5;NA
3.5;0;11.09;0;52.5;NA
3.66;0;11.44;0;52.5;NA
3.37;0;11.16;0;52.5;NA
3.65;0;11.6;0;52.5;NA
3.27;0;10.79;0;52.5;NA
3.55;0;11.37;0;52.5;NA
3.44;0;11.2;0;52.5;NA
3.62;0;11.47;0;52.5;NA
3.4;0;10.93;0;52.5;NA
3.67;0;11.61;0;52.5;NA
3.45;0;10.87;0;52.5;NA
3.3;0;10.57;0;52.5;NA
3.7;0;11.73;0;52.5;NA
3.41;0;10.93;0;52.5;NA
3.61;0;11.57;0;52.5;NA
3.43;0;11.06;0;52.5;NA
3.77;0;11.81;0;52.5;NA
3.5;0;11.14;0;52.5;NA
3.29;0;10.67;0;52.5;NA
3.37;0;10.99;0;52.5;NA
3.7;0;11.65;0;52.5;NA
3.67;0;11.84;0;52.5;NA
3.3;0;10.51;0;52.5;NA
3.19;0;10.21;0;52.5;NA
3.51;0;11.36;0;52.5;NA
3.85;0;12.07;0;52.5;NA
3.47;0;11.14;0;52.5;NA
4.05;0;12.6;0;52.5;NA
3.48;0;11.33;0;52.5;NA
3.58;0;11.43;0;52.5;NA
3.42;0;10.89;0;52.5;NA
3.61;0;11.36;0;52.5;NA
3.79;0;12.1;0;52.5;NA
3.36;0;10.85;0;52.5;NA
3.44;0;11.11;0;52.5;NA
3.34;0;10.84;0;52.5;NA
3.35;0;10.66;0;52.5;NA
3.32;0;10.81;0;52.5;NA
3.44;0;11.08;0;52.5;NA
3.36;0;10.72;0;52.5;NA
3.48;0;11.1;0;52.5;NA
3.83;0;12.24;0;52.5;NA
3.57;0;11.45;0;52.5;NA
3.64;0;11.44;0;52.5;NA
3.72;0;11.81;0;52.5;NA
3.77;0;12;0;52.5;NA
3.48;0;11.11;0;52.5;NA
3.48;0;11;0;52.5;NA
3.28;0;10.66;0;52.5;NA
3.44;0;11.04;0;52.5;NA
3.83;0;12.14;0;52.5;NA
3.58;0;11.51;0;52.5;NA
3.54;0;11.58;0;52.5;NA
3.54;0;11.19;0;52.5;NA
3.58;0;11.28;0;52.5;NA
3.2;0;10.34;0;52.5;NA
3.54;0;11.2;0;52.5;NA
3.5;0;11.02;0;52.5;NA
3.41;0;10.87;0;52.5;NA
3.21;0;10.67;0;52.5;NA
3.15;0;10.56;0;52.5;NA
3.62;0;11.6;0;52.5;NA
3.61;0;11.7;0;52.5;NA
3.07;0;10.07;0;52.5;NA
3.26;0;10.63;0;52.5;NA
3.2;0;10.27;0;52.5;NA
3.46;0;11.24;0;52.5;NA
3.45;0;11.07;0;52.5;NA
