"mean";"median";"sd";"best";"worst";"score"
27.63;28.19;10.39;0.8;52.5;NA
22.79;24.75;9.97;0.8;52.5;NA
18.72;19.11;9.58;0.8;52.5;NA
15.14;14.23;9.41;0.8;52.5;NA
12.35;9.78;10.28;0.32;52.5;NA
9.47;6.44;9.88;0.23;52.5;NA
7.79;5.08;10.24;0.23;52.5;NA
6.61;3.83;10.49;0.18;52.5;NA
5.81;2.49;10.74;0.16;52.5;NA
5.19;1.82;10.92;0.16;52.5;NA
4.91;1.28;11.56;0.16;52.5;NA
4.53;1.28;11.45;0.14;52.5;NA
4.37;0.85;11.52;0.14;52.5;NA
3.98;0.39;11.13;0.14;52.5;NA
3.7;0.23;10.85;0.14;52.5;NA
3.95;0.23;11.73;0.14;52.5;NA
3.84;0.23;11.5;0.14;52.5;NA
3.78;0.18;11.39;0.14;52.5;NA
3.63;0.17;11.14;0.14;52.5;NA
3.3;0.16;10.28;0.14;52.5;NA
3.83;0.16;11.67;0.14;52.5;NA
3.89;0.16;11.75;0.14;52.5;NA
3.74;0.14;11.45;0.14;52.5;NA
3.65;0.14;11.34;0.14;52.5;NA
3.62;0.14;11.38;0.14;52.5;NA
3.72;0.14;11.21;0.14;52.5;NA
4.01;0.14;12.19;0.14;52.5;NA
3.35;0.14;10.58;0.14;52.5;NA
3.66;0.14;11.18;0.14;52.5;NA
3.81;0.14;11.67;0.14;52.5;NA
3.86;0.14;12;0.14;52.5;NA
3.61;0.14;11.12;0.14;52.5;NA
3.42;0.14;10.6;0.14;52.5;NA
3.75;0.14;11.56;0.14;52.5;NA
4.05;0.14;12.21;0.14;52.5;NA
3.93;0.14;11.95;0.14;52.5;NA
3.71;0.14;11.31;0.14;52.5;NA
3.86;0.14;11.81;0.14;52.5;NA
3.67;0.14;11.49;0.14;52.5;NA
3.43;0.14;10.89;0.14;52.5;NA
3.68;0.14;11.44;0.14;52.5;NA
3.49;0.14;11.15;0.14;52.5;NA
3.5;0.14;11.03;0.14;52.5;NA
3.93;0.14;12.02;0.14;52.5;NA
3.53;0.14;10.93;0.14;52.5;NA
3.78;0.14;11.59;0.14;52.5;NA
3.75;0.14;11.44;0.14;52.5;NA
3.51;0.14;10.63;0.14;52.5;NA
3.7;0.14;11.62;0.14;52.5;NA
3.17;0.14;9.81;0.14;52.5;NA
3.49;0.14;10.94;0.14;52.5;NA
3.88;0.14;11.87;0.14;52.5;NA
3.36;0.14;10.46;0.14;52.5;NA
3.76;0.14;11.61;0.14;52.5;NA
3.49;0.14;10.93;0.14;52.5;NA
3.64;0.14;11.41;0.14;52.5;NA
3.71;0.14;11.34;0.14;52.5;NA
3.78;0.14;11.77;0.14;52.5;NA
3.84;0.14;11.66;0.14;52.5;NA
3.75;0.14;11.45;0.14;52.5;NA
3.77;0.14;11.63;0.14;52.5;NA
3.87;0.14;11.75;0.14;52.5;NA
3.68;0.14;11.28;0.14;52.5;NA
3.4;0.14;10.59;0.14;52.5;NA
3.62;0.14;11.36;0.14;52.5;NA
3.78;0.14;11.79;0.14;52.5;NA
3.79;0.14;11.71;0.14;52.5;NA
3.56;0.14;11.04;0.14;52.5;NA
3.81;0.14;11.72;0.14;52.5;NA
3.77;0.14;11.48;0.14;52.5;NA
3.66;0.14;11.33;0.14;52.5;NA
3.57;0.14;11;0.14;52.5;NA
4;0.14;12.16;0.14;52.5;NA
3.7;0.14;11.27;0.14;52.5;NA
3.63;0.14;11.12;0.14;52.5;NA
3.97;0.14;12.16;0.14;52.5;NA
3.76;0.14;11.52;0.14;52.5;NA
3.9;0.14;12.06;0.14;52.5;NA
3.66;0.14;11.24;0.14;52.5;NA
3.63;0.14;11.17;0.14;52.5;NA
3.96;0.14;12.08;0.14;52.5;NA
3.78;0.14;11.73;0.14;52.5;NA
3.76;0.14;11.56;0.14;52.5;NA
3.6;0.14;11.17;0.14;52.5;NA
3.65;0.14;11.46;0.14;52.5;NA
3.95;0.14;11.82;0.14;52.5;NA
3.64;0.14;11.51;0.14;52.5;NA
3.46;0.14;10.93;0.14;52.5;NA
3.69;0.14;11.4;0.14;52.5;NA
3.41;0.14;10.41;0.14;52.5;NA
3.64;0.14;11.24;0.14;52.5;NA
3.64;0.14;11.2;0.14;52.5;NA
3.86;0.14;11.91;0.14;52.5;NA
3.42;0.14;10.79;0.14;52.5;NA
3.73;0.14;11.47;0.14;52.5;NA
3.54;0.14;10.99;0.14;52.5;NA
3.9;0.14;11.98;0.14;52.5;NA
3.45;0.14;10.75;0.14;52.5;NA
3.69;0.14;11.54;0.14;52.5;NA
3.82;0.14;11.6;0.14;52.5;NA
