"mean";"median";"sd";"best";"worst";"score"
26.83;28.21;10.64;2.04;52.5;NA
22.21;23.75;10.61;1.26;52.5;NA
17.98;17.75;10.24;0.12;52.5;NA
14.12;12.72;10.29;0.07;52.5;NA
10.75;8.09;9.94;0.04;52.5;NA
8.49;5.17;10.58;0.04;52.5;NA
6.5;3.84;9.48;0.04;52.5;NA
5.62;2.5;10.2;0.04;52.5;NA
5.18;1.83;10.89;0.04;52.5;NA
4.61;1.34;11.04;0.04;52.5;NA
4.1;1.05;10.54;0.04;52.5;NA
3.91;0.57;10.91;0.03;52.5;NA
3.93;0.15;11.32;0.03;52.5;NA
3.79;0.07;11.5;0.03;52.5;NA
3.3;0.06;10.3;0.03;52.5;NA
3.57;0.06;11.53;0.03;52.5;NA
3.63;0.04;11.38;0.03;52.5;NA
3.52;0.04;11.14;0.03;52.5;NA
3.75;0.04;11.65;0.03;52.5;NA
3.93;0.04;12.33;0.03;52.5;NA
3.25;0.04;10.55;0.03;52.5;NA
3.66;0.03;11.34;0.03;52.5;NA
3.01;0.03;10.1;0.03;52.5;NA
3.61;0.03;11.56;0.03;52.5;NA
3.25;0.03;10.49;0.03;52.5;NA
3.55;0.03;11.37;0.03;52.5;NA
3.31;0.03;10.65;0.03;52.5;NA
3.68;0.03;11.54;0.03;52.5;NA
3.34;0.03;10.79;0.03;52.5;NA
3.36;0.03;10.82;0.03;52.5;NA
3.47;0.03;11.07;0.03;52.5;NA
3.55;0.03;11.5;0.03;52.5;NA
3.65;0.03;11.57;0.03;52.5;NA
3.82;0.03;12.17;0.03;52.5;NA
3.43;0.03;10.82;0.03;52.5;NA
3.78;0.03;12.03;0.03;52.5;NA
3.3;0.03;10.59;0.03;52.5;NA
3.4;0.03;10.97;0.03;52.5;NA
3.52;0.03;11.27;0.03;52.5;NA
3.36;0.03;10.74;0.03;52.5;NA
3.83;0.03;11.94;0.03;52.5;NA
3.4;0.03;10.81;0.03;52.5;NA
3.66;0.03;11.57;0.03;52.5;NA
3.33;0.03;10.73;0.03;52.5;NA
3.5;0.03;11.14;0.03;52.5;NA
3.77;0.03;11.96;0.03;52.5;NA
3.76;0.03;11.82;0.03;52.5;NA
3.49;0.03;11.4;0.03;52.5;NA
3.68;0.03;11.5;0.03;52.5;NA
3.68;0.03;11.54;0.03;52.5;NA
3.28;0.03;10.42;0.03;52.5;NA
3.41;0.03;10.99;0.03;52.5;NA
3.18;0.03;10.52;0.03;52.5;NA
3.63;0.03;11.44;0.03;52.5;NA
3.55;0.03;11.32;0.03;52.5;NA
3.53;0.03;11.3;0.03;52.5;NA
3.53;0.03;11.1;0.03;52.5;NA
3.8;0.03;11.91;0.03;52.5;NA
3.7;0.03;11.83;0.03;52.5;NA
3.43;0.03;10.96;0.03;52.5;NA
3.59;0.03;11.33;0.03;52.5;NA
3.78;0.03;11.95;0.03;52.5;NA
3.34;0.03;10.7;0.03;52.5;NA
3.7;0.03;11.69;0.03;52.5;NA
3.76;0.03;11.86;0.03;52.5;NA
3.5;0.03;11.04;0.03;52.5;NA
3.42;0.03;10.75;0.03;52.5;NA
3.59;0.03;11.33;0.03;52.5;NA
3.65;0.03;11.47;0.03;52.5;NA
3.53;0.03;11.2;0.03;52.5;NA
3.59;0.03;11.4;0.03;52.5;NA
3.51;0.03;11.05;0.03;52.5;NA
3.63;0.03;11.45;0.03;52.5;NA
3.47;0.03;11.04;0.03;52.5;NA
3.52;0.03;11.29;0.03;52.5;NA
3.91;0.03;12.35;0.03;52.5;NA
3.78;0.03;11.8;0.03;52.5;NA
3.43;0.03;11;0.03;52.5;NA
3.77;0.03;11.78;0.03;52.5;NA
3.78;0.03;11.97;0.03;52.5;NA
3.51;0.03;11.13;0.03;52.5;NA
3.84;0.03;12.04;0.03;52.5;NA
3.7;0.03;11.75;0.03;52.5;NA
3.74;0.03;11.71;0.03;52.5;NA
3.6;0.03;11.52;0.03;52.5;NA
3.53;0.03;11.32;0.03;52.5;NA
3.56;0.03;11.44;0.03;52.5;NA
3.57;0.03;11.4;0.03;52.5;NA
3.72;0.03;11.87;0.03;52.5;NA
3.44;0.03;10.91;0.03;52.5;NA
3.71;0.03;11.71;0.03;52.5;NA
3.38;0.03;10.86;0.03;52.5;NA
3.56;0.03;11.2;0.03;52.5;NA
3.56;0.03;11.34;0.03;52.5;NA
3.46;0.03;11.12;0.03;52.5;NA
3.58;0.03;11.35;0.03;52.5;NA
3.79;0.03;11.83;0.03;52.5;NA
3.62;0.03;11.5;0.03;52.5;NA
3.62;0.03;11.37;0.03;52.5;NA
3.78;0.03;11.85;0.03;52.5;NA
