"mean";"median";"sd";"best";"worst";"score"
28.5;29.31;9.89;2.96;52.5;NA
23.5;24.49;9.81;2.08;52.5;NA
19.29;18.9;10.07;1.32;52.5;NA
15.97;14.37;10.22;1.32;52.5;NA
12.91;10.43;10.14;1.26;52.5;NA
10.48;7.79;10.28;0.52;52.5;NA
8.43;5.93;9.46;0.52;52.5;NA
7.55;4.44;10.84;0.52;52.5;NA
6.57;3.29;10.96;0.52;52.5;NA
5.63;2.51;10.16;0.52;52.5;NA
5.48;2.08;11.38;0.52;52.5;NA
4.97;1.62;10.89;0.11;52.5;NA
4.38;1.27;10.55;0.11;52.5;NA
4.46;1.04;11.04;0.11;52.5;NA
4.43;0.87;11.77;0.11;52.5;NA
4.17;0.79;11.16;0.08;52.5;NA
4.51;0.77;12.26;0.08;52.5;NA
4.04;0.73;11.09;0.08;52.5;NA
3.92;0.52;11.19;0.08;52.5;NA
3.61;0.33;10.55;0.08;52.5;NA
3.5;0.27;10.57;0.03;52.5;NA
3.58;0.11;11.04;0.03;52.5;NA
3.67;0.11;11.28;0.03;52.5;NA
3.38;0.08;10.79;0.03;52.5;NA
3.58;0.08;11.37;0.03;52.5;NA
3.79;0.08;11.75;0.03;52.5;NA
3.73;0.08;11.64;0.03;52.5;NA
3.45;0.08;10.94;0.03;52.5;NA
3.32;0.03;10.43;0.03;52.5;NA
3.63;0.03;11.36;0.03;52.5;NA
3.38;0.03;10.8;0.03;52.5;NA
3.56;0.03;11.27;0.03;52.5;NA
3.66;0.03;11.77;0.03;52.5;NA
3.76;0.03;11.71;0.03;52.5;NA
3.41;0.03;11.05;0.03;52.5;NA
3.83;0.03;11.99;0.03;52.5;NA
3.13;0.03;10.24;0.03;52.5;NA
3.56;0.03;11.11;0.03;52.5;NA
3.89;0.03;12.26;0.03;52.5;NA
3.46;0.03;11.07;0.03;52.5;NA
3.25;0.03;10.51;0.03;52.5;NA
3.56;0.03;11.23;0.03;52.5;NA
3.38;0.03;10.83;0.03;52.5;NA
3.75;0.03;11.62;0.03;52.5;NA
3.66;0.03;11.42;0.03;52.5;NA
3.41;0.03;11.02;0.03;52.5;NA
3.51;0.03;11.29;0.03;52.5;NA
3.18;0.03;10.33;0.03;52.5;NA
3.54;0.03;11.37;0.03;52.5;NA
3.74;0.03;11.92;0.03;52.5;NA
3.41;0.03;10.94;0.03;52.5;NA
3.37;0.03;10.99;0.03;52.5;NA
3.47;0.03;11.12;0.03;52.5;NA
3.24;0.03;10.59;0.03;52.5;NA
3.57;0.03;11.13;0.03;52.5;NA
3.88;0.03;12.24;0.03;52.5;NA
3.65;0.03;11.39;0.03;52.5;NA
3.39;0.03;10.95;0.03;52.5;NA
3.57;0.03;11.49;0.03;52.5;NA
3.81;0.03;12;0.03;52.5;NA
3.38;0.03;10.89;0.03;52.5;NA
3.5;0.03;11.38;0.03;52.5;NA
3.81;0.03;11.88;0.03;52.5;NA
3.46;0.03;11.07;0.03;52.5;NA
3.55;0.03;11.41;0.03;52.5;NA
3.17;0.03;10.58;0.03;52.5;NA
3.5;0.03;11.27;0.03;52.5;NA
3.4;0.03;11.06;0.03;52.5;NA
3.41;0.03;11.21;0.03;52.5;NA
3.58;0.03;11.39;0.03;52.5;NA
3.35;0.03;10.96;0.03;52.5;NA
3.39;0.03;10.66;0.03;52.5;NA
3.46;0.03;11.05;0.03;52.5;NA
3.53;0.03;11.39;0.03;52.5;NA
3.65;0.03;11.89;0.03;52.5;NA
3.62;0.03;11.63;0.03;52.5;NA
3.56;0.03;11.28;0.03;52.5;NA
3.54;0.03;11.21;0.03;52.5;NA
3.55;0.03;11.19;0.03;52.5;NA
3.55;0.03;11.33;0.03;52.5;NA
3.95;0.03;12.36;0.03;52.5;NA
3.38;0.03;10.75;0.03;52.5;NA
3.38;0.03;10.72;0.03;52.5;NA
3.14;0.03;10.29;0.03;52.5;NA
3.34;0.03;10.82;0.03;52.5;NA
3.85;0.03;12.16;0.03;52.5;NA
3.53;0.03;11.28;0.03;52.5;NA
3.66;0.03;11.72;0.03;52.5;NA
3.5;0.03;11.12;0.03;52.5;NA
3.64;0.03;11.52;0.03;52.5;NA
3.62;0.03;11.3;0.03;52.5;NA
3.29;0.03;10.75;0.03;52.5;NA
3.42;0.03;10.93;0.03;52.5;NA
3.91;0.03;12.19;0.03;52.5;NA
3.38;0.03;10.96;0.03;52.5;NA
3.52;0.03;11.3;0.03;52.5;NA
3.87;0.03;12.03;0.03;52.5;NA
3.66;0.03;11.81;0.03;52.5;NA
3.6;0.03;11.4;0.03;52.5;NA
3.56;0.03;11.3;0.03;52.5;NA
