"mean";"median";"sd";"best";"worst";"score"
26.9;27.9;10.7;0.35;52.5;NA
21.51;22.64;10.32;0.35;52.5;NA
16.96;16.56;10;0.2;52.5;NA
13.34;11.03;10.17;0.2;52.5;NA
10.19;7.46;10.11;0.2;52.5;NA
8.41;5.44;10.87;0.01;52.5;NA
7.1;3.74;11.47;0.01;52.5;NA
5.88;2.56;10.91;0.01;52.5;NA
5.09;1.76;11.03;0.01;52.5;NA
4.52;1.26;10.98;0.01;52.5;NA
4.52;0.75;11.9;0.01;52.5;NA
3.68;0.38;10.32;0.01;52.5;NA
3.87;0.31;11.53;0.01;52.5;NA
3.76;0.21;11.34;0.01;52.5;NA
3.77;0.18;11.53;0.01;52.5;NA
3.53;0.12;11.02;0.01;52.5;NA
3.47;0.07;10.91;0.01;52.5;NA
3.63;0.03;11.58;0.01;52.5;NA
3.34;0.02;10.93;0.01;52.5;NA
3.51;0.02;11.22;0.01;52.5;NA
3.55;0.01;11.33;0.01;52.5;NA
3.64;0.01;11.74;0.01;52.5;NA
3.69;0.01;11.8;0.01;52.5;NA
3.37;0.01;10.98;0.01;52.5;NA
3.5;0.01;11.19;0.01;52.5;NA
3.42;0.01;11.1;0.01;52.5;NA
3.33;0.01;10.64;0.01;52.5;NA
3.4;0.01;11.01;0.01;52.5;NA
3.5;0.01;11.36;0.01;52.5;NA
3.45;0.01;11.1;0.01;52.5;NA
3.53;0.01;11.41;0.01;52.5;NA
3.61;0.01;11.59;0.01;52.5;NA
3.62;0.01;11.63;0.01;52.5;NA
3.28;0.01;10.79;0.01;52.5;NA
3.46;0.01;10.98;0.01;52.5;NA
3.59;0.01;11.63;0.01;52.5;NA
3.41;0.01;11.19;0.01;52.5;NA
3.47;0.01;11.09;0.01;52.5;NA
3.57;0.01;11.49;0.01;52.5;NA
3.25;0.01;10.54;0.01;52.5;NA
3.68;0.01;11.75;0.01;52.5;NA
3.64;0.01;11.49;0.01;52.5;NA
3.64;0.01;11.5;0.01;52.5;NA
3.49;0.01;11.24;0.01;52.5;NA
3.27;0.01;10.52;0.01;52.5;NA
3.44;0.01;11.02;0.01;52.5;NA
3.44;0.01;11.05;0.01;52.5;NA
3.61;0.01;11.43;0.01;52.5;NA
3.75;0.01;11.79;0.01;52.5;NA
3.34;0.01;10.77;0.01;52.5;NA
3.54;0.01;11.28;0.01;52.5;NA
3.24;0.01;10.59;0.01;52.5;NA
3.68;0.01;11.79;0.01;52.5;NA
3.42;0.01;11.14;0.01;52.5;NA
3.78;0.01;11.9;0.01;52.5;NA
3.48;0.01;11.1;0.01;52.5;NA
3.44;0.01;11.06;0.01;52.5;NA
3.48;0.01;11.19;0.01;52.5;NA
3.36;0.01;10.74;0.01;52.5;NA
3.32;0.01;10.81;0.01;52.5;NA
3.29;0.01;10.88;0.01;52.5;NA
3.33;0.01;10.63;0.01;52.5;NA
3.83;0.01;11.99;0.01;52.5;NA
3.75;0.01;11.96;0.01;52.5;NA
3.87;0.01;12.18;0.01;52.5;NA
3.65;0.01;11.54;0.01;52.5;NA
3.62;0.01;11.63;0.01;52.5;NA
3.55;0.01;11.25;0.01;52.5;NA
3.46;0.01;11.17;0.01;52.5;NA
3.52;0.01;11.29;0.01;52.5;NA
3.76;0.01;12.01;0.01;52.5;NA
3.57;0.01;11.61;0.01;52.5;NA
3.35;0.01;10.91;0.01;52.5;NA
3.31;0.01;10.99;0.01;52.5;NA
3.8;0.01;12.05;0.01;52.5;NA
3.7;0.01;11.65;0.01;52.5;NA
3.38;0.01;10.79;0.01;52.5;NA
3.79;0.01;11.9;0.01;52.5;NA
3.62;0.01;11.52;0.01;52.5;NA
3.7;0.01;11.7;0.01;52.5;NA
3.5;0.01;11.34;0.01;52.5;NA
4.13;0.01;12.84;0.01;52.5;NA
3.53;0.01;11.29;0.01;52.5;NA
3.96;0.01;12.37;0.01;52.5;NA
3.45;0.01;10.99;0.01;52.5;NA
3.5;0.01;11.23;0.01;52.5;NA
3.43;0.01;10.95;0.01;52.5;NA
3.18;0.01;10.44;0.01;52.5;NA
3.71;0.01;11.82;0.01;52.5;NA
3.41;0.01;10.82;0.01;52.5;NA
3.7;0.01;11.85;0.01;52.5;NA
3.28;0.01;10.78;0.01;52.5;NA
3.67;0.01;11.67;0.01;52.5;NA
3.63;0.01;11.59;0.01;52.5;NA
3.42;0.01;11.03;0.01;52.5;NA
3.41;0.01;10.82;0.01;52.5;NA
3.4;0.01;10.99;0.01;52.5;NA
3.42;0.01;10.82;0.01;52.5;NA
3.13;0.01;10.39;0.01;52.5;NA
3.27;0.01;10.47;0.01;52.5;NA
