"mean";"median";"sd";"best";"worst";"score"
28.13;28.74;10.5;1.18;52.5;NA
22.89;24.68;9.76;1.18;52.5;NA
19.03;18.52;10.15;1.18;52.5;NA
15.23;12.91;10.07;1.18;52.5;NA
12.03;10.02;9.8;1.18;52.5;NA
9.32;7.14;9.42;1.01;52.5;NA
7.65;4.52;10.13;1.01;52.5;NA
6.11;2.52;10.17;1.01;52.5;NA
5.43;2.44;10.55;1.01;52.5;NA
4.79;1.45;10.41;1.01;52.5;NA
4.7;1.18;10.93;1.01;52.5;NA
4.58;1.18;10.68;1.01;52.5;NA
4.83;1.18;11.57;1.01;52.5;NA
4.36;1.18;10.48;1.01;52.5;NA
4.82;1.18;11.68;1.01;52.5;NA
4.59;1.18;11.1;1.01;52.5;NA
4.38;1.01;10.9;1.01;52.5;NA
4.35;1.01;10.9;1.01;52.5;NA
4.72;1.01;11.75;1.01;52.5;NA
4.34;1.01;10.82;1.01;52.5;NA
4.05;1.01;10.09;1.01;52.5;NA
4.54;1.01;11.3;1.01;52.5;NA
4.33;1.01;10.71;1.01;52.5;NA
4.39;1.01;11.01;1.01;52.5;NA
4.32;1.01;10.63;1.01;52.5;NA
4.36;1.01;10.83;1.01;52.5;NA
4.41;1.01;11.05;1.01;52.5;NA
4.63;1.01;11.85;0.63;52.5;NA
4.25;1.01;10.43;0.63;52.5;NA
4.56;1.01;11.46;0.63;52.5;NA
4.72;1.01;11.81;0.63;52.5;NA
4.54;1.01;11.45;0.63;52.5;NA
4.52;1.01;11.19;0.63;52.5;NA
4.42;1.01;10.99;0.63;52.5;NA
4.22;1.01;10.64;0.63;52.5;NA
4.13;1.01;10.49;0.63;52.5;NA
4.29;0.63;11.15;0.63;52.5;NA
3.92;0.63;10.43;0.63;52.5;NA
3.99;0.63;10.94;0.63;52.5;NA
4.38;0.63;11.96;0.63;52.5;NA
4.18;0.63;11.52;0.63;52.5;NA
4.27;0.63;11.83;0.63;52.5;NA
3.87;0.63;10.76;0.63;52.5;NA
3.99;0.63;11.19;0.63;52.5;NA
4.01;0.63;11.14;0.63;52.5;NA
4.02;0.63;10.95;0.63;52.5;NA
4.1;0.63;11.39;0.63;52.5;NA
3.79;0.63;10.23;0.63;52.5;NA
3.9;0.63;10.86;0.63;52.5;NA
4.14;0.63;11.18;0.63;52.5;NA
4.13;0.63;11.41;0.63;52.5;NA
4.37;0.63;11.71;0.63;52.5;NA
4.04;0.63;11.12;0.63;52.5;NA
4.26;0.63;11.82;0.63;52.5;NA
3.95;0.63;10.62;0.63;52.5;NA
3.9;0.63;10.65;0.63;52.5;NA
3.85;0.63;10.44;0.63;52.5;NA
4.61;0.63;12.43;0.63;52.5;NA
4.35;0.63;11.76;0.63;52.5;NA
3.94;0.63;10.79;0.63;52.5;NA
4.29;0.63;11.61;0.63;52.5;NA
4.21;0.63;11.37;0.63;52.5;NA
3.88;0.63;10.39;0.63;52.5;NA
4.17;0.63;11.36;0.63;52.5;NA
4.23;0.63;11.56;0.63;52.5;NA
4.23;0.63;11.59;0.63;52.5;NA
4.07;0.63;11.24;0.63;52.5;NA
4.21;0.63;11.27;0.63;52.5;NA
4.25;0.63;11.53;0.63;52.5;NA
3.86;0.63;10.38;0.63;52.5;NA
3.88;0.63;10.46;0.63;52.5;NA
4.14;0.63;11.47;0.63;52.5;NA
3.87;0.63;10.6;0.63;52.5;NA
3.82;0.63;10.42;0.63;52.5;NA
4.12;0.63;11.12;0.63;52.5;NA
4.14;0.63;11.25;0.63;52.5;NA
4.28;0.63;11.57;0.63;52.5;NA
3.91;0.63;10.62;0.63;52.5;NA
4.11;0.63;11.31;0.63;52.5;NA
4.06;0.63;10.81;0.63;52.5;NA
4.41;0.63;12.01;0.63;52.5;NA
4.31;0.63;11.87;0.63;52.5;NA
3.97;0.63;10.74;0.63;52.5;NA
3.67;0.63;10.07;0.48;52.5;NA
4.21;0.63;11.74;0.48;52.5;NA
3.88;0.63;10.68;0.48;52.5;NA
4.4;0.63;11.94;0.48;52.5;NA
4.27;0.63;11.65;0.48;52.5;NA
4.23;0.63;11.51;0.48;52.5;NA
4.11;0.63;11.41;0.48;52.5;NA
4.01;0.63;11.01;0.48;52.5;NA
4.33;0.63;11.81;0.48;52.5;NA
3.78;0.63;10.49;0.48;52.5;NA
3.85;0.48;10.78;0.48;52.5;NA
4;0.48;11.11;0.48;52.5;NA
3.88;0.48;11.28;0.48;52.5;NA
4.13;0.48;11.66;0.48;52.5;NA
3.75;0.48;10.45;0.48;52.5;NA
4.18;0.48;11.75;0.48;52.5;NA
3.94;0.48;11.08;0.48;52.5;NA
