"exp";"alg";"sco";"best";"iter";"mean";"median";"sd"
"1";"hc";"k2";"0.00775190560000057";"100";"170.06";"0.01";"793.21"
"1";"hc";"aic";"0.000499297600000095";"100";"156.85";"0";"747.02"
"1";"hc";"bic";"0.00178100000000036";"100";"142.62";"0";"717.18"
"1";"hc";"bds";"0.0123435216000001";"100";"182.33";"0.01";"864.12"
"1";"tabu";"k2";"0.0206863056000016";"100";"190.64";"0.02";"896.09"
"1";"tabu";"aic";"0.00186099999999967";"100";"127.34";"0";"640.22"
"1";"tabu";"bic";"0.00252500000000009";"100";"237.02";"0";"1052.44"
"1";"tabu";"bds";"0.00351049759999975";"100";"168.08";"0";"774.79"
"2";"hc";"k2";"0.00196483359999977";"100";"201.2";"0";"891.82"
"2";"hc";"aic";"0.0124159999999999";"100";"136.32";"0.02";"680.81"
"2";"hc";"bic";"0.0010897921";"100";"150.21";"0";"706.33"
"2";"hc";"bds";"0.0014637136";"100";"110.21";"0";"558.71"
"2";"tabu";"k2";"0.00822100000000005";"100";"153.13";"0.01";"661.24"
"2";"tabu";"aic";"0.00172022559999965";"100";"113.98";"0.02";"619.62"
"2";"tabu";"bic";"0.00645110559999982";"100";"187.6";"0.01";"775.26"
"2";"tabu";"bds";"0.000648648100000099";"100";"178.69";"0";"787.78"
"3";"hc";"k2";"0.039550062500002";"100";"154.07";"0.05";"719.78"
"3";"hc";"aic";"0.0193313041000001";"100";"185.94";"0.02";"823.53"
"3";"hc";"bic";"9.00810000000055e-06";"100";"188.84";"0";"867.53"
"3";"hc";"bds";"4.92401000000013e-05";"100";"188.13";"0";"859.85"
"3";"tabu";"k2";"0.1054390625";"100";"158.69";"0.11";"723.6"
"3";"tabu";"aic";"0.0106460881";"100";"194.77";"0.01";"929.57"
"3";"tabu";"bic";"0.00212006250000003";"100";"162.26";"0";"817.66"
"3";"tabu";"bds";"0.00102395209999983";"100";"195.4";"0";"910.42"
"4";"hc";"k2";"0.00655791210000027";"100";"192.7";"0.01";"886.94"
"4";"hc";"aic";"0.0109028816000001";"100";"189.54";"0.01";"889.31"
"4";"hc";"bic";"0.0156252161000003";"100";"140.45";"0.02";"618.34"
"4";"hc";"bds";"0.0249400625000002";"100";"214.82";"0.02";"894.37"
"4";"tabu";"k2";"1.00009999999979e-06";"100";"136.42";"0";"623.15"
"4";"tabu";"aic";"0.00587600000000011";"100";"176.77";"0.01";"846.63"
"4";"tabu";"bic";"0.0361513215999989";"100";"179.62";"0.04";"880.17"
"4";"tabu";"bds";"0.0026566801";"100";"167.3";"0";"736.2"
"5";"hc";"k2";"0.0542183121000005";"100";"222.63";"0.05";"974.64"
"5";"hc";"aic";"0.0111410000000002";"100";"132.42";"0.01";"627.51"
"5";"hc";"bic";"0.0127359296000001";"100";"215.4";"0.01";"953.15"
"5";"hc";"bds";"0.00577372160000009";"100";"187.35";"0.01";"847.27"
"5";"tabu";"k2";"0.0763140624999979";"100";"155.99";"0.08";"777.04"
"5";"tabu";"aic";"0.0059910656";"100";"175.48";"0.01";"802.27"
"5";"tabu";"bic";"0.000961152100000011";"100";"156.57";"0";"789.67"
"5";"tabu";"bds";"0.0427919696000012";"100";"187.48";"0.04";"840.11"
"6";"hc";"k2";"0.0403533281000005";"100";"204.29";"0.04";"935.63"
"6";"hc";"aic";"0.00155906559999988";"100";"142.18";"0";"673.54"
"6";"hc";"bic";"0.000449256099999914";"100";"169.38";"0";"809.74"
"6";"hc";"bds";"0.0102820816000001";"100";"195.77";"0.01";"942.28"
"6";"tabu";"k2";"0.0629866561000018";"100";"184.41";"0.06";"848.66"
"6";"tabu";"aic";"0.0746557121000034";"100";"153.21";"0.07";"703.97"
"6";"tabu";"bic";"0.00857649609999997";"100";"199.28";"0.01";"905.65"
"6";"tabu";"bds";"0.0404368801";"100";"167.25";"0.04";"718.82"
"7";"hc";"k2";"0.00852803360000008";"100";"199.8";"0.01";"884.94"
"7";"hc";"aic";"0.0132933281000001";"100";"219.8";"0.01";"948.92"
"7";"hc";"bic";"0.000217273599999976";"100";"185.42";"0";"808.38"
"7";"hc";"bds";"0.0163987456";"100";"155.22";"0.02";"681.29"
"7";"tabu";"k2";"0.0401410000000009";"100";"175.41";"0.04";"801.41"
"7";"tabu";"aic";"0.0265353295999997";"100";"165.61";"0.03";"788.64"
"7";"tabu";"bic";"9.00809999999995e-06";"100";"94.31";"0";"533.48"
"7";"tabu";"bds";"8.16560999999981e-05";"100";"173.17";"0";"840.46"
"8";"hc";"k2";"0.0264270416000014";"100";"159.27";"0.03";"731.53"
"8";"hc";"aic";"0.000900999999999986";"100";"182.52";"0";"760.92"
"8";"hc";"bic";"0.0095576080999996";"100";"152.88";"0.01";"688.63"
"8";"hc";"bds";"0.00966212810000003";"100";"194.71";"0.01";"889.65"
"8";"tabu";"k2";"0.0135999999999995";"100";"144.54";"0.01";"654.8"
"8";"tabu";"aic";"0.00741404960000017";"100";"166.2";"0.01";"813.29"
"8";"tabu";"bic";"0.000686497599999969";"100";"167.06";"0";"776.82"
"8";"tabu";"bds";"0.0189750624999993";"100";"196";"0.02";"864.32"
"9";"hc";"k2";"0.0922890480999999";"100";"152.45";"0.09";"627.23"
"9";"hc";"aic";"0.0226000624999989";"100";"197.6";"0.02";"848.62"
"9";"hc";"bic";"0.0320424241000001";"100";"132.65";"0.03";"659.68"
"9";"hc";"bds";"0.00974597759999984";"100";"196.7";"0.01";"829.52"
"9";"tabu";"k2";"0.0922957136000024";"100";"179.69";"0.09";"834.9"
"9";"tabu";"aic";"0.00162099999999966";"100";"174.74";"0";"819.98"
"9";"tabu";"bic";"8.16560999999909e-05";"100";"212.6";"0";"951.65"
"9";"tabu";"bds";"0.0073010000000006";"100";"159.01";"0.01";"792.5"
"10";"hc";"k2";"0.0703534241000008";"100";"178.08";"0.07";"850.17"
"10";"hc";"aic";"0.0048996000999995";"100";"131.13";"0";"575.05"
"10";"hc";"bic";"0.000890544099999957";"100";"145.84";"0";"729.16"
"10";"hc";"bds";"0.000978640099999779";"100";"124.72";"0";"617.93"
"10";"tabu";"k2";"0.0375076881000013";"100";"201.15";"0.04";"900.69"
"10";"tabu";"aic";"0.00275356159999998";"100";"179.97";"0.01";"848.06"
"10";"tabu";"bic";"0.00211734560000004";"100";"178.37";"0";"769.48"
"10";"tabu";"bds";"0.0122096895999999";"100";"137.76";"0.01";"622.46"
"11";"hc";"k2";"0.0010950641000001";"100";"135.96";"0";"667.96"
"11";"hc";"aic";"0.0222896881000001";"100";"165.26";"0.02";"724.04"
"11";"hc";"bic";"0.00488773759999996";"100";"181.6";"0";"863.29"
"11";"hc";"bds";"0.0492388800999998";"100";"189.59";"0.05";"819.04"
"11";"tabu";"k2";"0.00371600000000015";"100";"133.95";"0";"712.56"
"11";"tabu";"aic";"0.024965345600001";"100";"182.47";"0.04";"797.94"
"11";"tabu";"bic";"0.0283738176000001";"100";"185.48";"0.03";"844.62"
"11";"tabu";"bds";"0.0168567761000005";"100";"149.48";"0.02";"696.79"
"12";"hc";"k2";"0.0688773761000006";"100";"180.59";"0.07";"773.91"
"12";"hc";"aic";"0.0165410881000001";"100";"139.77";"0.02";"656.96"
"12";"hc";"bic";"0.000122464099999993";"100";"154.94";"0";"731.79"
"12";"hc";"bds";"0.0107301040999998";"100";"156.93";"0.01";"790.09"
"12";"tabu";"k2";"0.0106800625000003";"100";"133.04";"0.06";"673.79"
"12";"tabu";"aic";"0.00302506250000002";"100";"165.02";"0";"804.16"
"12";"tabu";"bic";"0.0031378496";"100";"158.74";"0";"761.62"
"12";"tabu";"bds";"0.00922066560000002";"100";"175.73";"0.01";"830.03"
"13";"hc";"k2";"0.00699996959999985";"100";"225.89";"0.01";"940.51"
"13";"hc";"aic";"0.00255006249999983";"100";"123.41";"0";"653.5"
"13";"hc";"bic";"0.000119225599999981";"100";"166.47";"0";"827.53"
"13";"hc";"bds";"0.00743248159999993";"100";"170.13";"0.01";"824.33"
"13";"tabu";"k2";"0.0213872161";"100";"127.77";"0.02";"608.99"
"13";"tabu";"aic";"0.0140700624999999";"100";"125.76";"0.01";"563.71"
"13";"tabu";"bic";"0.00353124809999973";"100";"178.22";"0";"841.54"
"13";"tabu";"bds";"0.0140591936";"100";"172";"0.01";"819.05"
"14";"hc";"k2";"0.00374120959999981";"100";"173.18";"0";"774.63"
"14";"hc";"aic";"0.0009400625000001";"100";"198.43";"0";"897.97"
"14";"hc";"bic";"6.44096000000009e-05";"100";"178.9";"0";"777.06"
"14";"hc";"bds";"0.000100800100000083";"100";"175.91";"0";"799.17"
"14";"tabu";"k2";"0.00747945760000001";"100";"141.42";"0.01";"677.13"
"14";"tabu";"aic";"0.00519186409999959";"100";"176.43";"0.01";"803.68"
"14";"tabu";"bic";"0.000297352099999996";"100";"184.92";"0";"858.87"
"14";"tabu";"bds";"0.000143329600000056";"100";"145.96";"0";"753.55"
"15";"hc";"k2";"0.0135822961000002";"100";"150.39";"0.01";"703.47"
"15";"hc";"aic";"0.018620833599999";"100";"174.47";"0.02";"820.65"
"15";"hc";"bic";"0.00176406250000001";"100";"167.97";"0";"744.7"
"15";"hc";"bds";"0.0250390625000003";"100";"145.44";"0.04";"706.65"
"15";"tabu";"k2";"0.0454334416000002";"100";"188.29";"0.09";"767.61"
"15";"tabu";"aic";"0.0216063296000003";"100";"128.57";"0.02";"549.67"
"15";"tabu";"bic";"0.000906425600000058";"100";"186.16";"0";"883.46"
"15";"tabu";"bds";"0.0147731681000008";"100";"172.66";"0.01";"776.56"
"16";"hc";"k2";"0.00250835210000033";"100";"171.9";"0";"768.06"
"16";"hc";"aic";"0.0150085456000001";"100";"166.2";"0.02";"816.47"
"16";"hc";"bic";"0.000762784100000109";"100";"134.01";"0";"670.18"
"16";"hc";"bds";"0.000901601599999867";"100";"192.89";"0";"865.05"
"16";"tabu";"k2";"0.00630145610000005";"100";"139.62";"0.01";"705.26"
"16";"tabu";"aic";"0.00117325610000005";"100";"176";"0";"772.6"
"16";"tabu";"bic";"0.000890544099999957";"100";"138.56";"0";"604.37"
"16";"tabu";"bds";"0.00986516010000005";"100";"190.38";"0.01";"880.27"
"17";"hc";"k2";"0.077740999999999";"100";"135.26";"0.08";"675.08"
"17";"hc";"aic";"0.0223242640999994";"100";"131.1";"0.02";"560.92"
"17";"hc";"bic";"0.000901000000000001";"100";"144.05";"0";"622.36"
"17";"hc";"bds";"0.000100800099999972";"100";"161.94";"0";"798.03"
"17";"tabu";"k2";"0.0168609999999995";"100";"140.16";"0.02";"664.38"
"17";"tabu";"aic";"0.0133872161";"100";"158.62";"0.01";"695.44"
"17";"tabu";"bic";"0.00191676959999991";"100";"147.53";"0";"677.07"
"17";"tabu";"bds";"0.0242457601000001";"100";"167.4";"0.02";"735.36"
"18";"hc";"k2";"0.0163485775999997";"100";"195.62";"0.02";"902.86"
"18";"hc";"aic";"0.0258857296";"100";"195.75";"0.03";"887.64"
"18";"hc";"bic";"0.0439271936000005";"100";"128.67";"0.04";"598.23"
"18";"hc";"bds";"0.0472803135999999";"100";"156.99";"0.05";"761.49"
"18";"tabu";"k2";"0.0259807761000004";"100";"126.92";"0.03";"657.2"
"18";"tabu";"aic";"0.0149621455999999";"100";"210.33";"0.01";"953.86"
"18";"tabu";"bic";"0.0124955041";"100";"166.57";"0.01";"808.99"
"18";"tabu";"bds";"0.00878684960000069";"100";"145.09";"0.01";"778.26"
"19";"hc";"k2";"0.00242100000000055";"100";"197.61";"0";"892.8"
"19";"hc";"aic";"0.0100004176000006";"100";"203.94";"0.01";"878.51"
"19";"hc";"bic";"0.00548227360000043";"100";"166.05";"0.01";"770.9"
"19";"hc";"bds";"0.0117953680999994";"100";"162.02";"0.01";"808.29"
"19";"tabu";"k2";"0.0278681935999992";"100";"118.65";"0.03";"591.78"
"19";"tabu";"aic";"0.0388073280999997";"100";"184.91";"0.04";"826.01"
"19";"tabu";"bic";"0.00357208009999984";"100";"173.62";"0";"819.39"
"19";"tabu";"bds";"0.0136437600999996";"100";"144.48";"0.01";"699.44"
"20";"hc";"k2";"0.0625500625000003";"100";"144.48";"0.06";"688.02"
"20";"hc";"aic";"0.102111768099999";"100";"119.11";"0.1";"606.55"
"20";"hc";"bic";"0.0102050401";"100";"151.98";"0.01";"688.78"
"20";"hc";"bds";"0.00931599999999961";"100";"181.82";"0.01";"870.23"
"20";"tabu";"k2";"0.0371810895999998";"100";"183.46";"0.04";"876.93"
"20";"tabu";"aic";"0.00140881609999997";"100";"204.17";"0";"988.14"
"20";"tabu";"bic";"0.0076048975999989";"100";"222.06";"0.01";"988.73"
"20";"tabu";"bds";"0.0415361200999996";"100";"184.15";"0.04";"826.93"
