"mean";"median";"sd";"best";"worst";"score"
655.3;386.6;830.67;0.35;6932.81;NA
320.36;144.63;636.66;0.26;6522.81;NA
234.28;52.86;724.31;0.26;7152.64;NA
208.42;24.6;821.73;0.26;7553.86;NA
203.73;12.44;828.33;0.08;7176.34;NA
158.5;6.27;702.21;0.08;7529.55;NA
171.45;2.7;832.22;0.08;7648;NA
213.37;1.38;891.24;0.02;7560.81;NA
159.91;0.61;691.65;0.02;6887.93;NA
198.77;0.58;852.31;0.02;7467.21;NA
151.61;0.37;649.36;0.02;5968.27;NA
173.26;0.34;802.37;0.02;7076.74;NA
169.58;0.34;760.37;0.02;7609.58;NA
190.48;0.12;852.06;0.02;7593.89;NA
163.26;0.12;759.76;0.02;6972.83;NA
178.47;0.11;778.15;0.02;6464.8;NA
180.56;0.09;825.96;0.02;7503.54;NA
158.72;0.02;771.09;0.02;7472.39;NA
174.73;0.02;776.28;0.02;6889.59;NA
155.87;0.02;752.23;0.02;7560.81;NA
135.35;0.02;695.01;0.02;7641.01;NA
132.96;0.02;619.02;0.02;6225.38;NA
189.5;0.02;849.25;0.02;7149.26;NA
174.8;0.02;821.22;0.02;7534.75;NA
139.13;0.02;670.9;0.02;7529.55;NA
178.23;0.02;846.56;0.02;7642.76;NA
138.27;0.02;672.82;0.02;7050.03;NA
175.08;0.02;857.31;0.02;7513.94;NA
144.64;0.02;740.37;0.02;7343.31;NA
167.57;0.02;778.82;0.02;6971.16;NA
150.95;0.02;690.65;0.02;5983.73;NA
207.36;0.02;962.89;0.02;7555.6;NA
131.97;0.02;600.94;0.02;6732.81;NA
180.39;0.02;849.74;0.02;7494.88;NA
214.39;0.02;911.33;0.02;7200.08;NA
187.02;0.02;860.72;0.02;6394.25;NA
153.29;0.02;775.46;0.02;7002.92;NA
154.29;0.02;743.05;0.02;7486.23;NA
167.19;0.02;748.87;0.02;6927.82;NA
205.1;0.02;911;0.02;7281.75;NA
156.68;0.02;739.33;0.02;6892.91;NA
191.69;0.02;917.04;0.02;7427.52;NA
181.31;0.02;818.69;0.02;7028.04;NA
188.57;0.02;788.27;0.02;6537.36;NA
180.24;0.02;853.93;0.02;7417.18;NA
166.76;0.02;751.7;0.02;6665.71;NA
156.59;0.02;760.18;0.02;6194.37;NA
202.19;0.02;861.09;0.02;7484.5;NA
179.34;0.02;859.87;0.02;7387.93;NA
122.19;0.02;600.92;0.02;6706.58;NA
151.27;0.02;717.62;0.02;7012.96;NA
181.08;0.02;803.7;0.02;6569.73;NA
183.43;0.02;832.65;0.02;7642.76;NA
159.5;0.02;703.82;0.02;7261.29;NA
166.52;0.02;786.83;0.02;7031.33;NA
177.9;0.02;850.47;0.02;7149.26;NA
220.49;0.02;991.2;0.02;7649.75;NA
185.54;0.02;775.77;0.02;6459.98;NA
145.98;0.02;742.89;0.02;7331.32;NA
152.29;0.02;701.53;0.02;6698.4;NA
177.92;0.02;833.54;0.02;6849.81;NA
175.31;0.02;746.1;0.02;6997.9;NA
185.09;0.02;781.5;0.02;6091.59;NA
162.35;0.02;665.47;0.02;6087.81;NA
161.02;0.02;756.61;0.02;6686.95;NA
164.74;0.02;795.43;0.02;7228.85;NA
157.69;0.02;734.42;0.02;6901.21;NA
159.92;0.02;801.38;0.02;7500.08;NA
119.82;0.02;572.87;0.02;5767.61;NA
155.33;0.02;719.59;0.02;6083.13;NA
153.31;0.02;724.27;0.02;7550.38;NA
184.99;0.02;870.01;0.02;7381.06;NA
199.15;0.02;846.59;0.02;7550.38;NA
140.72;0.02;736.25;0.02;7470.67;NA
162.77;0.02;799.44;0.02;7110.43;NA
148.62;0.02;726.94;0.02;7115.49;NA
183.8;0.02;830.42;0.02;7491.42;NA
137.59;0.02;709.27;0.02;7415.46;NA
114.8;0.02;568.05;0.02;7081.79;NA
182.96;0.02;870.93;0.02;7641.01;NA
192.92;0.02;855.36;0.02;7493.15;NA
183.44;0.02;890.32;0.02;7477.58;NA
161.65;0.02;718.55;0.02;7405.13;NA
184.41;0.02;842.67;0.02;7251.07;NA
165.14;0.02;735.66;0.02;7396.53;NA
175.85;0.02;790.1;0.02;7154.33;NA
178.94;0.02;854.9;0.02;7367.32;NA
159.04;0.02;746.77;0.02;7063.29;NA
170.87;0.02;766.43;0.02;7002.92;NA
153.5;0.02;688.32;0.02;7075.06;NA
160.23;0.02;676.46;0.02;5678.37;NA
188.07;0.02;878.79;0.02;7422.35;NA
183.05;0.02;810.12;0.02;7592.14;NA
173.4;0.02;790.52;0.02;7300.53;NA
188.68;0.02;862.97;0.02;7350.17;NA
192.53;0.02;830.39;0.02;7024.69;NA
144.09;0.02;711.46;0.02;7068.33;NA
180.83;0.02;785.35;0.02;6405.45;NA
204.39;0.02;878.47;0.02;6199.09;NA
174.47;0.02;820.65;0.02;6864.72;NA
