"mean";"median";"sd";"best";"worst";"score"
652.79;379.59;839.97;0.27;6620.07;NA
332.94;133.74;704.27;0.13;7161.1;NA
282.75;51.74;907.19;0.13;7193.29;NA
228.51;21.69;866.53;0.13;7494.88;NA
213.28;9.43;925.8;0.13;7510.47;NA
207.95;4.94;849;0.13;7031.4;NA
221.58;1.8;937.02;0.13;7080.11;NA
162.18;0.68;739.8;0.13;7172.95;NA
144.32;0.37;672;0.13;6621.7;NA
195.89;0.34;867.97;0.13;6668.97;NA
209.99;0.18;920.96;0.13;7132.36;NA
140.09;0.17;685.74;0.13;6924.49;NA
145.01;0.17;696.18;0.03;6561.63;NA
142.53;0.13;718.35;0.03;7628.78;NA
171.64;0.13;762.89;0.03;7137.43;NA
135.98;0.13;568.98;0.03;6338.41;NA
134.77;0.13;668.09;0.03;6484.11;NA
152.27;0.13;676.24;0.03;6798.6;NA
181.93;0.13;860.83;0.03;7319.34;NA
160.24;0.13;769.87;0.03;7607.83;NA
162.42;0.13;775.53;0.03;7019.66;NA
126.95;0.13;556.35;0.03;5274.46;NA
173.92;0.03;831.9;0.03;7319.34;NA
184.96;0.03;892.08;0.03;7317.63;NA
154.7;0.03;672.07;0.03;6792.01;NA
183.04;0.03;797.12;0.03;6202.24;NA
170.15;0.03;788.42;0.03;7538.23;NA
133.77;0.03;661.22;0.02;7625.29;NA
162.2;0.03;760.38;0.02;6385.03;NA
182.33;0.03;812.1;0.02;7412.02;NA
148.16;0.03;710.24;0.02;7389.65;NA
148.53;0.03;731.26;0.02;7247.66;NA
170.58;0.03;770.33;0.02;7125.61;NA
161.08;0.03;786.95;0.02;7491.42;NA
132.29;0.03;583.34;0.02;6859.75;NA
144.92;0.03;639.47;0.02;5934.33;NA
140.25;0.02;676.35;0.02;6529.29;NA
134.43;0.02;697.18;0.02;7651.5;NA
159.4;0.02;738.36;0.02;6810.15;NA
168.45;0.02;790.59;0.02;6351.15;NA
160.92;0.02;710.06;0.02;6954.47;NA
214.06;0.02;915.81;0.02;7327.9;NA
138.13;0.02;691.96;0.02;6686.95;NA
157.59;0.02;729.7;0.02;6442.31;NA
199.67;0.02;860.62;0.02;7436.14;NA
172;0.02;870.59;0.02;7436.14;NA
161.01;0.02;802.93;0.02;7160.98;NA
164.57;0.02;823.01;0.02;6901.21;NA
211.52;0.02;928.97;0.02;7384.5;NA
172.53;0.02;824.5;0.02;7566.03;NA
117.55;0.02;608.12;0.02;7648;NA
127.89;0.02;599.26;0.02;7254.48;NA
175.06;0.02;815.76;0.02;7449.94;NA
132.12;0.02;689.85;0.02;6443.92;NA
114.65;0.02;540.93;0.02;6537.36;NA
152.44;0.02;723.09;0.02;7222.15;NA
170.21;0.02;790.91;0.02;7063.29;NA
164.91;0.02;733.72;0.02;6891.25;NA
148.68;0.02;712.79;0.02;7021.34;NA
169.93;0.02;807.01;0.02;7477.58;NA
147.79;0.02;706.09;0.02;7327.9;NA
202.94;0.02;931.47;0.02;7529.55;NA
155.33;0.02;659.3;0.02;6055.09;NA
114.73;0.02;542.45;0.02;7539.96;NA
171.25;0.02;773.44;0.02;6505.06;NA
181.03;0.02;831.96;0.02;7239.15;NA
149.27;0.02;698.81;0.02;6952.81;NA
140.87;0.02;714.16;0.02;7225.55;NA
205.12;0.02;896.92;0.02;7336.67;NA
172.18;0.02;810.55;0.02;7501.81;NA
214.46;0.02;967.18;0.02;7595.63;NA
146.58;0.02;718.92;0.02;6691.85;NA
202.15;0.02;896.28;0.02;6954.47;NA
124.28;0.02;566.13;0.02;5642.26;NA
140.63;0.02;677.83;0.02;7655;NA
138.11;0.02;687.04;0.02;6997.9;NA
170.78;0.02;754.39;0.02;7152.64;NA
135.79;0.02;664.37;0.02;7019.66;NA
160.44;0.02;743.43;0.02;7144.19;NA
159.88;0.02;762.07;0.02;7276.63;NA
203.46;0.02;913.8;0.02;7302.24;NA
142.77;0.02;678.57;0.02;7117.17;NA
196.14;0.02;847.7;0.02;7256.18;NA
127.5;0.02;543.97;0.02;5342.94;NA
175.53;0.02;789.92;0.02;6397.45;NA
229.85;0.02;990.58;0.02;7458.57;NA
191.93;0.02;891.32;0.02;7579.95;NA
143.78;0.02;675.8;0.02;6780.48;NA
186.35;0.02;809.31;0.02;6657.55;NA
205.36;0.02;927.41;0.02;7553.86;NA
164.15;0.02;773.54;0.02;7472.39;NA
165.44;0.02;814.9;0.02;7034.75;NA
134.32;0.02;613.83;0.02;6623.5;NA
155.73;0.02;710.8;0.02;5933.73;NA
225.19;0.02;937.1;0.02;7528.11;NA
159.63;0.02;717.75;0.02;7247.66;NA
142.99;0.02;636.17;0.02;5670.83;NA
152.28;0.02;727.92;0.02;6864.72;NA
148.54;0.02;802.36;0.02;7656.75;NA
155.22;0.02;681.29;0.02;6790.36;NA
