"mean";"median";"sd";"best";"worst";"score"
708.19;472.38;768.01;0.02;6316.14;NA
384.83;177.86;634.54;0.02;7427.52;NA
272.76;87.22;725.26;0.02;6680.41;NA
239.68;34.7;910.9;0.02;7408.57;NA
172.45;13.85;772.84;0.02;7278.34;NA
167.96;8.35;698.24;0.02;7019.66;NA
131.01;6.08;611.22;0.02;7283.46;NA
170.53;4.03;728.55;0;6680.41;NA
165.35;2.19;712.13;0;6673.87;NA
177.73;1.22;833.43;0;7430.97;NA
145.5;0.7;668.09;0;6629.84;NA
191.77;0.41;828.26;0;7567.77;NA
177.3;0.31;829.62;0;7420.63;NA
230.38;0.17;980.88;0;7468.94;NA
148.41;0.11;688.87;0;6765.67;NA
196.81;0.05;909.99;0;7585.18;NA
154.4;0.03;786.8;0;7644.51;NA
176.32;0.03;769.41;0;7110.43;NA
139.41;0.02;666.73;0;6884.61;NA
174.43;0.01;838.5;0;7208.56;NA
168.44;0.01;818.84;0;7417.18;NA
133.85;0;662.41;0;7434.41;NA
125.84;0;562.19;0;5036.15;NA
179.64;0;774.24;0;7381.06;NA
207.65;0;960.29;0;7417.18;NA
174.12;0;820.47;0;7054.89;NA
180.01;0;775.78;0;7374.19;NA
161.88;0;789.02;0;7157.72;NA
149.96;0;742.16;0;7519.14;NA
127.73;0;610.14;0;5678.37;NA
211.39;0;938.31;0;7467.21;NA
142.97;0;693.5;0;6839.89;NA
135.02;0;666.35;0;7406.85;NA
154.92;0;783.62;0;7315.92;NA
237.89;0;1064.42;0;7550.38;NA
174.5;0;817.45;0;7579.95;NA
177.97;0;867.95;0;7494.88;NA
146.53;0;688.84;0;6704.95;NA
168.54;0;731.56;0;6853.12;NA
139.2;0;678.12;0;6873;NA
209.11;0;891.03;0;7406.85;NA
150.7;0;756.46;0;7056.57;NA
159.47;0;708.64;0;6325.68;NA
190.9;0;844.54;0;6519.58;NA
171.79;0;804.55;0;7343.31;NA
197.49;0;885.81;0;7393.09;NA
161.03;0;798.2;0;6577.84;NA
160.7;0;705.53;0;6020.91;NA
233.97;0;984.61;0;6869.69;NA
171.18;0;772.94;0;7336.46;NA
129.26;0;612.32;0;7365.61;NA
148.59;0;683.32;0;7520.87;NA
152.57;0;693.71;0;6641.24;NA
154.38;0;697.94;0;7205.17;NA
110.36;0;491.36;0;4658.92;NA
173.41;0;794.32;0;7427.52;NA
122.46;0;620.52;0;7128.99;NA
153.78;0;713.6;0;7398.25;NA
168.26;0;844.22;0;7016.94;NA
151.07;0;703.02;0;7590.4;NA
178.51;0;807.82;0;6714.77;NA
152.83;0;788.32;0;7653.25;NA
159.29;0;810.5;0;7579.95;NA
123.47;0;638.13;0;6680.41;NA
155.57;0;748.26;0;6381.47;NA
176.89;0;832.17;0;7572.99;NA
197.91;0;881.5;0;7409;NA
167.66;0;734.58;0;6216.42;NA
146.58;0;781.99;0;7437.86;NA
165.91;0;818.18;0;7083.47;NA
187.39;0;848.12;0;7637.51;NA
148.87;0;793.77;0;7307.37;NA
136.81;0;697.51;0;7444.76;NA
138.42;0;684.78;0;7569.51;NA
169.82;0;762.14;0;6732.81;NA
144.83;0;786.68;0;7345.03;NA
124.57;0;604.66;0;6488.94;NA
116.82;0;521.34;0;5487.01;NA
192;0;808.34;0;7574.73;NA
152.12;0;690.8;0;6230.62;NA
171.26;0;812.75;0;7247.66;NA
150.99;0;714.85;0;7360.46;NA
182.03;0;820.91;0;7038.1;NA
167;0;754.77;0;7634.02;NA
189.19;0;879.93;0;7358.74;NA
187.17;0;865.16;0;6501.83;NA
135.79;0;689.37;0;6292.33;NA
168.52;0;764.65;0;7355.31;NA
130.12;0;666.66;0;7343.31;NA
149.96;0;663.62;0;6094.05;NA
211.62;0;920.3;0;7293.7;NA
147.55;0;694.53;0;5865.21;NA
196.29;0;895.71;0;7557.34;NA
122.59;0;639.7;0;7508.74;NA
113.09;0;595.98;0;7327.9;NA
183.66;0;809.92;0;7593.89;NA
188.3;0;854.17;0;7538.23;NA
163.97;0;790.29;0;6333.63;NA
194.22;0;950.54;0;7627.03;NA
142.62;0;717.18;0;7635.77;NA
