"mean";"median";"sd";"best";"worst";"score"
642.85;376.51;756.01;0.08;5173.3;NA
347.63;128.46;742.05;0.08;6796.95;NA
226.62;32.1;781.26;0.08;7574.73;NA
210.3;9.73;867.52;0.08;7322.76;NA
202.44;5.12;913.15;0.08;7396.53;NA
170.01;1.08;754.13;0.08;6330.45;NA
190.5;0.47;904.42;0.08;7437.86;NA
131.93;0.43;628.36;0.08;6186.5;NA
173.82;0.24;870.28;0.08;7627.03;NA
150.92;0.12;704.84;0.08;6590.82;NA
177.1;0.08;845.05;0.08;7641.01;NA
121.35;0.08;540.48;0.08;5565.36;NA
162;0.08;770.82;0.08;6749.23;NA
110.08;0.08;556.22;0.08;6999.57;NA
169.96;0.08;855.92;0.08;7346.74;NA
110.41;0.08;556.01;0.08;6189.65;NA
137.51;0.08;739.36;0.08;7132.36;NA
205.18;0.08;939.91;0.08;7585.18;NA
177.23;0.08;791.5;0.08;7562.55;NA
165.47;0.08;793.45;0.08;7384.5;NA
182.16;0.08;860.67;0.08;7441.31;NA
157.38;0.08;785.68;0.08;7430.97;NA
119.55;0.08;603.07;0.08;7105.37;NA
105;0.08;559.52;0.08;5737.2;NA
141.09;0.08;662.99;0.08;6846.5;NA
130.29;0.08;662.82;0.08;6729.53;NA
143.37;0.08;712.1;0.08;7346.74;NA
139.9;0.08;648.67;0.08;7240.86;NA
189.07;0.08;807.43;0.08;6962.81;NA
187.7;0.08;830.11;0.08;6912.85;NA
148.14;0.08;708.61;0.08;7002.92;NA
166.33;0.08;790.38;0.08;7439.59;NA
149.31;0.08;688.47;0.08;6492.16;NA
185.33;0.08;852.32;0.08;7300.53;NA
210.59;0.08;919.4;0.08;7157.72;NA
142.37;0.08;643.88;0.08;6379.87;NA
168.74;0.08;758.97;0.08;6611.94;NA
168.83;0.08;757.43;0.08;7080.11;NA
174.73;0.08;842.1;0.08;7588.66;NA
194.83;0.08;886.61;0.08;7592.14;NA
172.35;0.08;805.89;0.08;6792.01;NA
166.65;0.08;795.82;0.08;6810.15;NA
218.96;0.08;968.82;0.08;7432.69;NA
170.96;0.08;807.69;0.08;7019.66;NA
174.23;0.08;793.43;0.08;6513.13;NA
169.64;0.08;768.53;0.08;6314.55;NA
174.79;0.08;836.14;0.08;7627.03;NA
150.47;0.08;703.29;0.08;6851.47;NA
131.34;0.08;605.38;0.08;7405.13;NA
159.59;0.08;750.54;0.08;6191.22;NA
183.59;0.08;747.22;0.08;7522.61;NA
158.44;0.08;720.91;0.08;7351.88;NA
151.16;0.08;671.84;0.08;5875.94;NA
155.96;0.08;728.4;0.08;6675.51;NA
172.74;0.08;735.07;0.08;7137.43;NA
157.86;0.08;754.39;0.08;7071.7;NA
194.32;0.08;859.08;0.08;7646.25;NA
174.37;0.08;799.8;0.08;7430.97;NA
161.35;0.08;757.18;0.08;6801.9;NA
188.67;0.08;835.31;0.08;7623.54;NA
167.22;0.08;792.53;0.08;7637.51;NA
160.2;0.08;778.02;0.08;7346.74;NA
189.91;0.08;801.94;0.08;7043.14;NA
151.14;0.08;692.67;0.08;6651.02;NA
165.11;0.08;747.02;0.08;7360.46;NA
182.59;0.08;869.58;0.08;6961.15;NA
217.49;0.08;955.4;0.08;7541.7;NA
191.99;0.08;882.75;0.08;7572.99;NA
185.11;0.08;865.95;0.08;7014.64;NA
160.96;0.08;764.47;0.08;6783.77;NA
171.24;0.08;792.23;0.08;6876.32;NA
171.84;0.08;738.56;0.08;5763.06;NA
195.61;0.08;822.19;0.08;7211.96;NA
161.18;0.08;699.63;0.08;6768.96;NA
190.93;0.08;849.77;0.08;7572.99;NA
147.41;0.08;647.9;0.08;6229.04;NA
236.36;0.08;1011.48;0.08;7348.45;NA
229.41;0.08;961.32;0.08;7642.76;NA
190.74;0.08;821.68;0.08;7412.02;NA
180.4;0.08;866.93;0.08;7569.51;NA
132.43;0.08;621.36;0.08;7283.46;NA
143.9;0.08;665.26;0.08;7048.17;NA
227.5;0.08;969.74;0.08;7632.27;NA
138.5;0.08;712.53;0.08;7283.46;NA
133.41;0.08;628.05;0.08;7387.93;NA
118.48;0.08;570.08;0.08;5837.68;NA
131.97;0.08;603.77;0.08;6108.11;NA
227.46;0.08;1019.85;0.08;7475.85;NA
191.52;0.08;868.36;0.08;7350.17;NA
211.03;0.08;919.86;0.08;6787.09;NA
162.63;0.08;778.17;0.08;6989.54;NA
186.73;0.08;890.98;0.08;7048.17;NA
153.32;0.08;650.08;0.08;5857.56;NA
192.86;0.08;877.69;0.08;6946.14;NA
141.71;0.08;705.35;0.08;6739.38;NA
175.83;0.08;793.95;0.08;7498.35;NA
199.88;0.08;922.97;0.08;7382.78;NA
167.37;0.08;750.27;0.08;7144.19;NA
182.77;0.08;843.61;0.08;7252.77;NA
135.26;0.08;675.08;0.08;7424.07;NA
