"mean";"median";"sd";"best";"worst";"score"
641.34;315.83;846.66;0.04;7449.94;NA
355.92;140.99;820.19;0.04;6981.18;NA
269.31;43.8;795.5;0.04;7150.95;NA
234.03;18.72;953.63;0.04;7658.5;NA
239.51;10.83;981.99;0.04;7363.89;NA
192.93;7.31;841.33;0.03;7593.89;NA
175.4;6.66;805.96;0.03;7198.38;NA
127.63;3.82;531.99;0.03;5781.29;NA
193.62;1.62;856.22;0.01;7607.83;NA
200.07;0.66;884.7;0.01;6543.82;NA
182.88;0.31;800.86;0.01;7462.03;NA
147;0.23;666.13;0.01;5926.63;NA
146.84;0.14;720.42;0.01;6550.3;NA
164.27;0.04;773.51;0.01;7107.05;NA
134.63;0.04;684.91;0.01;7336.46;NA
142.26;0.03;667.25;0.01;6833.27;NA
157.08;0.03;773.35;0.01;7262.99;NA
173.96;0.03;764.25;0.01;6790.36;NA
165.27;0.03;738.89;0.01;6743.38;NA
200.54;0.02;917.92;0.01;7369.04;NA
128.78;0.01;614.2;0.01;6532.51;NA
118.82;0.01;569.67;0.01;7543.44;NA
192.51;0.01;882.76;0.01;7194.99;NA
147.01;0.01;651.49;0.01;6016.25;NA
206.32;0.01;935.84;0.01;7611.32;NA
125.49;0.01;732.4;0.01;7600.86;NA
174.96;0.01;819.68;0.01;7503.54;NA
158.11;0.01;683.91;0.01;6628.21;NA
159.03;0.01;802.93;0.01;6954.47;NA
211.7;0.01;942.72;0.01;7648;NA
155.52;0.01;689.79;0.01;6618.45;NA
171.49;0.01;805.16;0.01;7456.85;NA
169.74;0.01;794.07;0.01;7420.63;NA
177.86;0.01;794.16;0.01;6306.61;NA
132.49;0.01;602.99;0.01;5993.01;NA
143.95;0.01;732.84;0.01;7360.46;NA
170.22;0.01;856.39;0.01;7644.51;NA
138.12;0.01;689.31;0.01;7295.41;NA
147.33;0.01;691.29;0.01;6820.05;NA
187.59;0.01;842.57;0.01;7600.86;NA
174.85;0.01;797.25;0.01;7581.69;NA
143.73;0.01;683.62;0.01;6506.67;NA
151;0.01;702.58;0.01;6270.72;NA
124.29;0.01;605.8;0.01;6379.87;NA
138.53;0.01;689.77;0.01;7539.96;NA
126.09;0.01;610.95;0.01;7460.3;NA
190.37;0.01;797.87;0.01;7128.99;NA
172.8;0.01;823.42;0.01;7479.31;NA
161.43;0.01;750.15;0.01;7242.56;NA
182.82;0.01;765.03;0.01;7054.89;NA
191.17;0.01;843.74;0.01;7189.9;NA
172.03;0.01;809.3;0.01;7655;NA
165.89;0.01;753.79;0.01;5819.36;NA
179.15;0.01;831.71;0.01;7333.03;NA
192.58;0.01;889.42;0.01;7625.29;NA
154.6;0.01;812.5;0.01;7441.31;NA
195.68;0.01;849.18;0.01;7562.55;NA
190.12;0.01;851.39;0.01;7070.01;NA
157.32;0.01;803.85;0.01;7503.54;NA
203.53;0.01;894.01;0.01;7384.5;NA
199.53;0.01;854.95;0.01;7357.03;NA
169.14;0.01;757.69;0.01;6602.19;NA
220.27;0.01;994.31;0.01;7484.5;NA
215.87;0.01;924.52;0.01;6977.84;NA
156.97;0.01;685.03;0.01;6800.25;NA
193.43;0.01;834.52;0.01;7286.87;NA
160.89;0.01;754.63;0.01;7513.94;NA
141.77;0.01;626.55;0.01;5932.42;NA
184.48;0.01;814.65;0.01;7135.74;NA
168.19;0.01;791.48;0.01;7425.8;NA
138.92;0.01;614.67;0.01;6033.33;NA
102.47;0.01;421.92;0.01;3845.01;NA
171.7;0.01;744.2;0.01;6917.73;NA
245.76;0.01;1062.38;0.01;7484.5;NA
189.56;0.01;854.89;0.01;7317.63;NA
176.47;0.01;851.19;0.01;7646.25;NA
145.98;0.01;699.77;0.01;7298.83;NA
183.8;0.01;866.36;0.01;7123.92;NA
148.82;0.01;694.3;0.01;6642.87;NA
136.52;0.01;617.11;0.01;6101.86;NA
187.08;0.01;817.72;0.01;7016.31;NA
173.96;0.01;751.86;0.01;7477.58;NA
156.06;0.01;703.52;0.01;6969.49;NA
173.1;0.01;831.18;0.01;6941.14;NA
168.95;0.01;796.52;0.01;6964.48;NA
172.94;0.01;748.95;0.01;6404.31;NA
167.81;0.01;848.56;0.01;7588.66;NA
226;0.01;981.99;0.01;7417.18;NA
165.3;0.01;778.46;0.01;6816.75;NA
176.52;0.01;803.63;0.01;7599.12;NA
173;0.01;830.44;0.01;7166.18;NA
184.18;0.01;822.84;0.01;7456.85;NA
189.32;0.01;843.01;0.01;7251.07;NA
147.36;0.01;704.16;0.01;6909.52;NA
157.89;0.01;790.72;0.01;7251.07;NA
152.15;0.01;755.8;0.01;5975.99;NA
203.88;0.01;886.44;0.01;7564.29;NA
146.06;0.01;681.17;0.01;7026.37;NA
225.87;0.01;1008.12;0.01;7501.81;NA
176.43;0.01;803.68;0.01;6418.26;NA
