"mean";"median";"sd";"best";"worst";"score"
705.29;499.26;676.61;0.03;4861.73;NA
440.83;216.68;728.33;0.03;7424.07;NA
276.58;104.07;766.54;0.03;7095.26;NA
261.17;41.14;921.57;0.03;7436.14;NA
199.19;15.45;809.79;0.01;7363.89;NA
190.15;8.22;832.31;0.01;7249.37;NA
140.41;4.8;634.6;0.01;6254.31;NA
150.38;1.57;682.69;0.01;7102;NA
170.09;0.49;821.35;0.01;7379.34;NA
144.21;0.35;696.69;0.01;6846.5;NA
187.86;0.34;826.61;0.01;7281.75;NA
112.37;0.21;591.12;0.01;6206.96;NA
163.35;0.04;817.15;0.01;7302.24;NA
160.87;0.02;785.13;0.01;7191.59;NA
133.59;0.02;614.85;0.01;5830.05;NA
146.81;0.01;717.56;0.01;6667.34;NA
170.72;0.01;726.14;0.01;6795.31;NA
220.58;0.01;923.88;0.01;7203.47;NA
205.87;0.01;920.21;0.01;7553.86;NA
151.63;0.01;756.17;0.01;7128.99;NA
155.73;0.01;711.94;0.01;7132.36;NA
181.85;0.01;801.04;0.01;7437.86;NA
167.45;0.01;748.26;0.01;7261.29;NA
179.04;0.01;802.77;0.01;6972.83;NA
186.53;0.01;808.19;0.01;6693.49;NA
156.2;0.01;754.4;0.01;7625.29;NA
205.67;0.01;922.4;0.01;7486.23;NA
174.08;0.01;725.75;0.01;6340;NA
161.15;0.01;716.36;0.01;6921.16;NA
132.02;0.01;712.07;0.01;7350.17;NA
163.45;0.01;752.59;0.01;7215.35;NA
108.47;0.01;461.24;0.01;5071.69;NA
125.81;0.01;626.28;0.01;6216.42;NA
172.59;0.01;790.49;0.01;6506.67;NA
140.11;0.01;677.12;0.01;6497.66;NA
160.21;0.01;685.03;0.01;5997.65;NA
168.69;0.01;767.51;0.01;7004.59;NA
172.57;0.01;855.68;0.01;7424.07;NA
209.16;0.01;843.54;0.01;6773.89;NA
139.87;0.01;621.3;0.01;7044.82;NA
152.6;0.01;684.66;0.01;7189.9;NA
196.38;0.01;878.18;0.01;7602.6;NA
167.32;0.01;759.7;0.01;7021.34;NA
154.35;0.01;727.07;0.01;7295.41;NA
137.69;0.01;651.7;0.01;6686.95;NA
176.08;0.01;803.28;0.01;6951.14;NA
214.85;0.01;970.6;0.01;7630.53;NA
195.17;0.01;800.04;0.01;6500.22;NA
199.7;0.01;842.43;0.01;6595.69;NA
169.81;0.01;786.16;0.01;7623.54;NA
211.12;0.01;887.41;0.01;7152.64;NA
141.07;0.01;659.76;0.01;6927.82;NA
180.88;0.01;825.77;0.01;7427.52;NA
218.64;0.01;983.41;0.01;7498.35;NA
203.2;0.01;883.08;0.01;6896.23;NA
129.1;0.01;630.86;0.01;7059.93;NA
178.45;0.01;755.32;0.01;6312.96;NA
154.96;0.01;815.89;0.01;7524.34;NA
187.21;0.01;882.78;0.01;7498.35;NA
146.19;0.01;720.89;0.01;7095.26;NA
170.67;0.01;766.18;0.01;7436.14;NA
157.41;0.01;740.85;0.01;6624.95;NA
132.22;0.01;675.88;0.01;7653.25;NA
164.26;0.01;703.82;0.01;5819.36;NA
125.83;0.01;624;0.01;7239.15;NA
155.12;0.01;706.39;0.01;6914.45;NA
188.21;0.01;856.91;0.01;7599.12;NA
160.25;0.01;739.62;0.01;7566.03;NA
158.85;0.01;800.25;0.01;7286.87;NA
167.13;0.01;784.72;0.01;7161.1;NA
180.67;0.01;776.03;0.01;7501.46;NA
164.91;0.01;733.17;0.01;7001.25;NA
161.9;0.01;786.49;0.01;7512.21;NA
150.45;0.01;776.8;0.01;7011.29;NA
155.33;0.01;698.86;0.01;6574.59;NA
147.62;0.01;696.82;0.01;6346.37;NA
164.41;0.01;776.1;0.01;6825.01;NA
189.35;0.01;826.72;0.01;6921.16;NA
143.25;0.01;728.04;0.01;6954.47;NA
235.29;0.01;967.56;0.01;6608.69;NA
194.38;0.01;905;0.01;7644.51;NA
178.54;0.01;804.96;0.01;7310.79;NA
164.66;0.01;750.12;0.01;7266.4;NA
172.93;0.01;763.89;0.01;7546.91;NA
221.57;0.01;882.31;0.01;7655;NA
147.76;0.01;707.01;0.01;6765.67;NA
222.33;0.01;1029.15;0.01;7541.7;NA
191.62;0.01;926.59;0.01;7458.57;NA
154.22;0.01;759.04;0.01;7562.55;NA
134.54;0.01;668.05;0.01;7254.48;NA
156.53;0.01;756.62;0.01;6421.46;NA
161.65;0.01;705.38;0.01;7401.69;NA
175.44;0.01;762.47;0.01;7503.54;NA
98.66;0.01;468.68;0.01;4785.36;NA
129.6;0.01;605.23;0.01;6934.48;NA
155.91;0.01;745.98;0.01;7460.3;NA
107.21;0.01;531.03;0.01;5540.59;NA
186.47;0.01;827.16;0.01;6846.5;NA
148.71;0.01;702.56;0.01;7389.65;NA
190.38;0.01;880.27;0.01;7611.32;NA
