"mean";"median";"sd";"best";"worst";"score"
641.84;366.27;853.52;0.21;7482.77;NA
367.4;200.51;711.26;0.15;7625.29;NA
308.81;105.31;833.01;0.04;7261.96;NA
239.83;51.09;807.31;0.04;7271.52;NA
227.06;23.8;926.19;0.04;7567.77;NA
186.99;12.77;777.98;0.04;6327.27;NA
141.51;6.97;585.02;0.04;6552.22;NA
179.74;4.32;770.49;0.04;6592.44;NA
124.57;2.66;539.42;0.04;5316.66;NA
143.42;1.12;613.66;0.03;5373.67;NA
149.07;0.59;702.88;0.02;7007.94;NA
119.02;0.39;560.81;0.01;6756.94;NA
168.09;0.29;818;0.01;7493.15;NA
202.33;0.18;880.48;0.01;7237.45;NA
159.47;0.1;772.76;0.01;7566.03;NA
181.31;0.06;847.93;0.01;7614.81;NA
179.17;0.05;841.42;0.01;7115.49;NA
143.26;0.05;703.58;0.01;6806.85;NA
149.39;0.04;738.87;0.01;7564.29;NA
143.46;0.04;588.64;0.01;4614.02;NA
151.85;0.03;742.58;0.01;6584.8;NA
142.53;0.03;680.92;0.01;6243.25;NA
158.37;0.03;765.95;0.01;7137.43;NA
272.26;0.02;1131.37;0.01;7572.99;NA
147.58;0.02;733.44;0.01;7078.42;NA
131.89;0.01;665.31;0.01;7453.39;NA
123.43;0.01;669.3;0.01;6991.21;NA
170.13;0.01;840.75;0.01;7106.4;NA
165.56;0.01;805.02;0.01;7401.69;NA
154.23;0.01;798.61;0.01;7649.75;NA
138.64;0.01;654.21;0.01;7217.05;NA
167.94;0.01;800.55;0.01;7592.14;NA
183.68;0.01;845.01;0.01;7418.9;NA
141.73;0.01;672.43;0.01;7439.59;NA
176.02;0.01;827.65;0.01;6843.19;NA
167.44;0.01;745.16;0.01;6828.31;NA
148.35;0.01;731.76;0.01;7387.93;NA
113.42;0.01;570.81;0.01;6214.84;NA
130.82;0.01;631.46;0.01;7164.49;NA
188.04;0.01;861.95;0.01;7449.94;NA
140.53;0.01;663.17;0.01;7520.87;NA
157.52;0.01;736.52;0.01;6613.57;NA
200.55;0.01;857.14;0.01;6476.06;NA
119.32;0.01;600.54;0.01;6397.45;NA
162.67;0.01;809.98;0.01;7566.03;NA
176.46;0.01;823.06;0.01;7080.11;NA
144.82;0.01;737.14;0.01;7539.96;NA
171.94;0.01;771.89;0.01;6801.9;NA
188.23;0.01;858.96;0.01;7245.96;NA
190.96;0.01;780.78;0.01;5773.69;NA
166.95;0.01;749.96;0.01;6992.88;NA
200.93;0.01;903.83;0.01;7496.61;NA
203.06;0.01;906.8;0.01;7475.85;NA
222.34;0.01;962.47;0.01;7634.02;NA
174.42;0.01;788.78;0.01;7475.85;NA
158.74;0.01;696.01;0.01;6487.33;NA
159.85;0.01;723.19;0.01;7205.17;NA
129.83;0.01;621.15;0.01;7142.5;NA
193.12;0.01;922.17;0.01;7456.85;NA
147.04;0.01;780.96;0.01;7456.85;NA
159.88;0.01;765.53;0.01;7548.65;NA
128.36;0.01;590.41;0.01;5230.99;NA
200.09;0.01;882.45;0.01;7254.48;NA
181.5;0.01;830.69;0.01;7310.79;NA
200.93;0.01;834.91;0.01;7076.74;NA
202.14;0.01;906.5;0.01;6572.97;NA
148.99;0.01;771.51;0.01;7245.96;NA
168.43;0.01;823.05;0.01;7002.92;NA
164.99;0.01;773.82;0.01;6675.51;NA
186.63;0.01;838.39;0.01;7154.33;NA
202.22;0.01;858.95;0.01;6600.56;NA
154.96;0.01;714.37;0.01;6216.42;NA
129.72;0.01;588.59;0.01;5582.34;NA
180.26;0.01;847.01;0.01;7444.76;NA
135.33;0.01;616.95;0.01;5986.66;NA
186.32;0.01;817.76;0.01;6467.14;NA
169.51;0.01;816.91;0.01;7183.12;NA
144.75;0.01;660.33;0.01;5807.17;NA
193.71;0.01;881.9;0.01;7093.57;NA
183.81;0.01;824.16;0.01;7367.32;NA
132.31;0.01;633.32;0.01;5741.83;NA
198.94;0.01;898.49;0.01;7137.43;NA
110.7;0.01;606.59;0.01;7107.05;NA
82.12;0.01;431.71;0.01;5790.37;NA
164.88;0.01;767.65;0.01;6768.15;NA
160.71;0.01;726.58;0.01;7014.64;NA
143.64;0.01;737.8;0.01;7125.61;NA
138.45;0.01;651.87;0.01;7017.99;NA
224.54;0.01;1018.06;0.01;7295.41;NA
227.08;0.01;997.84;0.01;7329.61;NA
185.34;0.01;820.25;0.01;7381.06;NA
201.66;0.01;905.34;0.01;7597.37;NA
159.27;0.01;716.67;0.01;6977.84;NA
209.13;0.01;929.53;0.01;7611.32;NA
205.4;0.01;956.89;0.01;7566.03;NA
163.19;0.01;798.92;0.01;7043.14;NA
143.45;0.01;673.11;0.01;6513.13;NA
140.9;0.01;733.26;0.01;7375.91;NA
165.02;0.01;746.85;0.01;6864.72;NA
166.57;0.01;808.99;0.01;7377.62;NA
