"mean";"median";"sd";"best";"worst";"score"
671.76;378.44;877.17;0.29;7472.39;NA
342.26;131.67;677.43;0.29;6626.58;NA
280.83;37.98;935.36;0.29;7286.87;NA
162.06;13.74;672.59;0.17;7026.37;NA
146.95;7.85;667.11;0.17;6376.68;NA
210.02;5.79;857.85;0.11;6902.87;NA
153.96;3.29;742.1;0.11;7196.68;NA
178.53;1.75;846.91;0.11;6843.19;NA
138.79;0.37;635.75;0.11;7345.03;NA
135.17;0.34;673.12;0.09;7196.68;NA
125.5;0.29;661.19;0.09;6992.88;NA
137.16;0.29;666.46;0.09;7481.04;NA
177.14;0.17;821.94;0.09;7281.75;NA
213.82;0.17;922;0.09;7578.21;NA
171.37;0.17;757.74;0.09;6803.55;NA
177.39;0.17;835.38;0.09;7391.37;NA
164.92;0.11;728.67;0.09;7543.44;NA
208.58;0.11;894.23;0.09;7522.61;NA
188.46;0.11;877.96;0.09;7501.81;NA
178.23;0.09;846.97;0.09;6916.17;NA
176.87;0.09;747.83;0.09;7386.21;NA
228.19;0.09;982.31;0.09;7108.74;NA
179.28;0.09;819.66;0.09;6886.27;NA
160.89;0.09;796.38;0.09;7327.9;NA
144.95;0.09;672.67;0.09;7321.05;NA
136.79;0.09;712.94;0.09;7618.3;NA
198.88;0.09;900.48;0.09;6892.91;NA
162.62;0.09;691.3;0.09;6259.06;NA
163.99;0.09;804.77;0.09;6672.24;NA
123.3;0.09;563.21;0.09;6904.54;NA
146.93;0.09;698.61;0.09;7007.94;NA
148.38;0.09;726.99;0.09;6056.65;NA
163.76;0.09;771.99;0.09;7235.75;NA
158.21;0.09;696;0.09;6440.71;NA
194.27;0.09;928.59;0.09;7632.27;NA
180.73;0.09;853.42;0.08;7256.18;NA
135.85;0.09;691.86;0.08;7280.05;NA
203.29;0.09;905.65;0.08;7374.19;NA
135.81;0.09;701.2;0.08;6825.01;NA
141.87;0.09;673.04;0.08;6302.36;NA
221.36;0.09;916.95;0.08;6464.8;NA
169.94;0.09;724.75;0.08;5778.25;NA
134.65;0.09;642.03;0.08;6297.09;NA
154.9;0.09;717.11;0.08;6677.14;NA
172.49;0.09;838.09;0.08;7444.76;NA
142.5;0.09;709.63;0.08;7310.79;NA
125.09;0.09;606.94;0.08;6538.97;NA
176.58;0.09;829.73;0.08;7286.87;NA
182.29;0.09;829.83;0.08;6917.84;NA
122.74;0.08;661.93;0.08;7424.07;NA
191.2;0.08;834.18;0.08;6949.47;NA
127.54;0.08;594.72;0.08;5212.2;NA
136.46;0.08;651.99;0.08;6640.1;NA
184.01;0.08;833.22;0.08;7117.17;NA
153.23;0.08;718.58;0.08;6624.95;NA
208.96;0.08;926.4;0.08;7225.55;NA
147.24;0.08;747.03;0.08;7430.97;NA
161.31;0.08;768.11;0.08;7632.27;NA
134.45;0.08;676.87;0.08;7620.05;NA
165.04;0.08;749.81;0.08;6936.14;NA
154.07;0.08;771.93;0.08;7520.87;NA
156.26;0.08;798.15;0.08;7519.14;NA
152.69;0.08;764.08;0.08;7266.4;NA
167.7;0.08;769.11;0.08;6629.84;NA
150.82;0.08;706.16;0.08;6668.97;NA
166.67;0.08;749.08;0.08;6934.48;NA
172.94;0.08;841.67;0.08;7620.05;NA
187.86;0.08;883.9;0.08;7387.93;NA
148.88;0.08;674.82;0.08;6851.67;NA
147.67;0.08;763.6;0.08;7118.86;NA
220.8;0.08;976.24;0.08;7564.29;NA
144.07;0.08;680.39;0.08;6693.49;NA
101.54;0.08;526.63;0.08;6765.67;NA
214.23;0.08;958.78;0.08;7213.66;NA
173.63;0.08;758.58;0.08;6426.27;NA
162.46;0.08;703.77;0.08;5830.05;NA
175.34;0.08;788.32;0.08;6211.69;NA
158.07;0.08;798.28;0.08;7193.29;NA
152.59;0.08;705.87;0.08;7029.72;NA
133.33;0.08;601.14;0.08;6838.23;NA
166.44;0.08;722.24;0.08;5203.54;NA
156.37;0.08;709.27;0.08;5736.42;NA
167.5;0.08;766.94;0.08;6811.8;NA
153.12;0.08;729.88;0.08;6818.4;NA
139.3;0.08;684.69;0.08;7401.69;NA
147.57;0.08;706.45;0.08;7363.89;NA
185.11;0.08;830.48;0.08;6966.15;NA
144.41;0.08;726.69;0.08;7533.02;NA
145.48;0.08;695.04;0.08;7529.55;NA
159.67;0.08;785.16;0.08;7503.54;NA
161.86;0.08;696.51;0.08;7127.3;NA
98.13;0.08;427.29;0.08;5173.3;NA
135.39;0.08;612.41;0.08;6451.95;NA
169.23;0.08;751.08;0.08;6869.69;NA
212.39;0.08;933.24;0.08;7526.08;NA
180.63;0.08;780.28;0.08;7176.34;NA
136.9;0.08;637.18;0.08;6484.11;NA
155.27;0.08;734.13;0.08;7070.01;NA
171.6;0.08;750.19;0.08;7630.53;NA
155.99;0.08;777.04;0.08;7322.76;NA
