"exp";"alg";"sco";"best";"iter";"mean";"median";"sd"
"1";"hc";"k2";"1.55705263771289e-06";"100";"0.04";"0";"0.16"
"1";"hc";"aic";"6.57280430582663e-07";"100";"0.05";"0";"0.18"
"1";"hc";"bic";"2.41999912220514e-07";"100";"0.04";"0";"0.17"
"1";"hc";"bds";"1.06443175711401e-05";"100";"0.04";"0";"0.17"
"1";"tabu";"k2";"2.74605565092623e-06";"100";"0.04";"0";"0.15"
"1";"tabu";"aic";"1.79801555632575e-05";"100";"0.04";"0";"0.18"
"1";"tabu";"bic";"1.00100006061865e-09";"100";"0.04";"0";"0.17"
"1";"tabu";"bds";"4.48757320237192e-06";"100";"0.04";"0";"0.16"
"2";"hc";"k2";"2.1602644966201e-05";"100";"0.05";"0";"0.18"
"2";"hc";"aic";"1.21159803889714e-06";"100";"0.04";"0";"0.16"
"2";"hc";"bic";"1.30249997454257e-08";"100";"0.04";"0";"0.16"
"2";"hc";"bds";"3.8224997778169e-08";"100";"0.03";"0";"0.14"
"2";"tabu";"k2";"5.16570577879794e-06";"100";"0.04";"0";"0.16"
"2";"tabu";"aic";"5.16570577879794e-06";"100";"0.04";"0";"0.17"
"2";"tabu";"bic";"7.19992224079702e-06";"100";"0.04";"0";"0.15"
"2";"tabu";"bds";"9.26171612736226e-06";"100";"0.04";"0";"0.16"
"3";"hc";"k2";"2.07152491366047e-06";"100";"0.04";"0";"0.17"
"3";"hc";"aic";"7.19992224079702e-06";"100";"0.04";"0";"0.16"
"3";"hc";"bic";"5.00899993705062e-09";"100";"0.03";"0";"0.13"
"3";"hc";"bds";"3.28962084968909e-05";"100";"0.04";"0";"0.16"
"3";"tabu";"k2";"7.70507299896472e-06";"100";"0.04";"0";"0.17"
"3";"tabu";"aic";"2.15501811601237e-06";"100";"0.04";"0";"0.16"
"3";"tabu";"bic";"7.99999988476685e-09";"100";"0.04";"0";"0.16"
"3";"tabu";"bds";"7.29775205376981e-07";"100";"0.04";"0";"0.16"
"4";"hc";"k2";"1.10800982611181e-07";"100";"0.03";"0";"0.14"
"4";"hc";"aic";"2.94409986945077e-08";"100";"0.03";"0";"0.13"
"4";"hc";"bic";"3.72959980676768e-08";"100";"0.05";"0";"0.19"
"4";"hc";"bds";"3.06701527813535e-06";"100";"0.04";"0";"0.16"
"4";"tabu";"k2";"1.44545343855329e-06";"100";"0.04";"0";"0.16"
"4";"tabu";"aic";"2.08408939772475e-07";"100";"0.04";"0";"0.17"
"4";"tabu";"bic";"4.38400752311718e-07";"100";"0.05";"0";"0.19"
"4";"tabu";"bds";"1.001934709699e-06";"100";"0.04";"0";"0.16"
"5";"hc";"k2";"1.10800982611181e-07";"100";"0.04";"0";"0.17"
"5";"hc";"aic";"4.9132070467639e-07";"100";"0.04";"0";"0.17"
"5";"hc";"bic";"4.99999961434128e-08";"100";"0.03";"0";"0.16"
"5";"hc";"bds";"4.5728996866945e-08";"100";"0.04";"0";"0.15"
"5";"tabu";"k2";"1.96040494443439e-06";"100";"0.04";"0";"0.16"
"5";"tabu";"aic";"2.80655895412707e-07";"100";"0.04";"0";"0.16"
"5";"tabu";"bic";"6.11209943768287e-08";"100";"0.05";"0";"0.18"
"5";"tabu";"bds";"9.09289881723119e-08";"100";"0.04";"0";"0.17"
"6";"hc";"k2";"1.29799752490722e-06";"100";"0.03";"0";"0.15"
"6";"hc";"aic";"3.67624808539357e-07";"100";"0.03";"0";"0.15"
"6";"hc";"bic";"1.00100006061865e-09";"100";"0.02";"0";"0.11"
"6";"hc";"bds";"9.02143027281532e-07";"100";"0.04";"0";"0.17"
"6";"tabu";"k2";"4.58443106432505e-06";"100";"0.03";"0";"0.15"
