"mean";"median";"sd";"best";"worst";"score"
0.17;0.04;0.23;0;0.99;NA
0.06;0.01;0.15;0;0.99;NA
0.06;0.01;0.18;0;0.99;NA
0.04;0.01;0.15;0;0.99;NA
0.04;0.01;0.16;0;1;NA
0.04;0.01;0.16;0;1;NA
0.04;0.01;0.15;0;0.98;NA
0.05;0;0.18;0;0.97;NA
0.04;0;0.17;0;0.99;NA
0.04;0;0.16;0;1;NA
0.03;0;0.15;0;1;NA
0.04;0;0.14;0;0.98;NA
0.04;0;0.15;0;0.99;NA
0.05;0;0.19;0;0.99;NA
0.04;0;0.18;0;1;NA
0.04;0;0.18;0;0.99;NA
0.04;0;0.16;0;0.98;NA
0.04;0;0.17;0;0.99;NA
0.04;0;0.18;0;1;NA
0.05;0;0.19;0;0.99;NA
0.04;0;0.17;0;1;NA
0.04;0;0.17;0;0.99;NA
0.03;0;0.13;0;0.98;NA
0.03;0;0.15;0;0.99;NA
0.04;0;0.17;0;0.99;NA
0.04;0;0.17;0;1;NA
0.03;0;0.14;0;0.98;NA
0.05;0;0.19;0;1;NA
0.04;0;0.16;0;0.99;NA
0.03;0;0.15;0;0.99;NA
0.04;0;0.17;0;1;NA
0.04;0;0.17;0;0.99;NA
0.03;0;0.15;0;0.99;NA
0.04;0;0.16;0;0.99;NA
0.04;0;0.17;0;1;NA
0.04;0;0.17;0;0.99;NA
0.04;0;0.16;0;0.99;NA
0.03;0;0.15;0;0.99;NA
0.04;0;0.17;0;0.99;NA
0.05;0;0.19;0;0.99;NA
0.04;0;0.18;0;1;NA
0.04;0;0.17;0;1;NA
0.04;0;0.18;0;1;NA
0.04;0;0.17;0;0.99;NA
0.03;0;0.12;0;0.99;NA
0.04;0;0.18;0;0.99;NA
0.03;0;0.15;0;1;NA
0.05;0;0.18;0;1;NA
0.04;0;0.16;0;1;NA
0.03;0;0.13;0;1;NA
0.03;0;0.15;0;0.99;NA
0.04;0;0.16;0;0.99;NA
0.04;0;0.18;0;0.99;NA
0.04;0;0.17;0;0.99;NA
0.04;0;0.17;0;0.99;NA
0.03;0;0.14;0;0.99;NA
0.03;0;0.15;0;0.99;NA
0.04;0;0.16;0;0.98;NA
0.04;0;0.16;0;0.99;NA
0.03;0;0.14;0;1;NA
0.04;0;0.17;0;1;NA
0.04;0;0.15;0;1;NA
0.04;0;0.16;0;0.99;NA
0.04;0;0.17;0;0.99;NA
0.03;0;0.15;0;0.98;NA
0.04;0;0.17;0;0.99;NA
0.04;0;0.17;0;0.99;NA
0.05;0;0.19;0;0.99;NA
0.04;0;0.17;0;1;NA
0.05;0;0.19;0;0.99;NA
0.04;0;0.17;0;1;NA
0.03;0;0.13;0;0.98;NA
0.04;0;0.15;0;0.98;NA
0.04;0;0.17;0;0.98;NA
0.04;0;0.16;0;0.99;NA
0.04;0;0.17;0;0.99;NA
0.04;0;0.17;0;0.99;NA
0.04;0;0.17;0;1;NA
0.03;0;0.15;0;0.98;NA
0.03;0;0.14;0;0.99;NA
0.04;0;0.18;0;0.99;NA
0.03;0;0.14;0;0.99;NA
0.03;0;0.15;0;0.99;NA
0.05;0;0.18;0;1;NA
0.03;0;0.13;0;0.99;NA
0.04;0;0.17;0;1;NA
0.04;0;0.17;0;0.99;NA
0.03;0;0.15;0;0.99;NA
0.04;0;0.16;0;0.99;NA
0.05;0;0.18;0;0.99;NA
0.03;0;0.15;0;0.99;NA
0.03;0;0.13;0;0.94;NA
0.04;0;0.16;0;1;NA
0.04;0;0.16;0;1;NA
0.03;0;0.15;0;0.99;NA
0.03;0;0.14;0;0.99;NA
0.04;0;0.16;0;0.99;NA
0.04;0;0.17;0;0.99;NA
0.04;0;0.17;0;0.99;NA
0.04;0;0.15;0;0.98;NA
