"exp";"alg";"sco";"best";"iter";"mean";"median";"sd"
"1";"hc";"k2";"1.00000000000005e-05";"100";"0.76";"0";"2.48"
"1";"hc";"aic";"0.000865999999999994";"100";"0.73";"0";"2.44"
"1";"hc";"bic";"1.99999999999956e-06";"100";"0.76";"0";"2.58"
"1";"hc";"bds";"4.9999999999989e-06";"100";"0.77";"0";"2.65"
"1";"tabu";"k2";"0.000688999999999997";"100";"0.78";"0";"2.63"
"1";"tabu";"aic";"3.59999999999974e-05";"100";"0.69";"0";"2.37"
"1";"tabu";"bic";"1.6e-05";"100";"0.81";"0";"2.71"
"1";"tabu";"bds";"2.49999999999989e-05";"100";"0.68";"0";"2.36"
"2";"hc";"k2";"0.000540999999999992";"100";"0.81";"0";"2.72"
"2";"hc";"aic";"0.000229000000000003";"100";"0.75";"0";"2.51"
"2";"hc";"bic";"2.49999999999989e-05";"100";"0.8";"0";"2.65"
"2";"hc";"bds";"9.00000000000068e-06";"100";"0.7";"0";"2.4"
"2";"tabu";"k2";"0.000640999999999996";"100";"0.68";"0";"2.26"
"2";"tabu";"aic";"0.000116999999999996";"100";"0.71";"0";"2.44"
"2";"tabu";"bic";"4.90000000000016e-05";"100";"0.76";"0";"2.54"
"2";"tabu";"bds";"6.49999999999999e-05";"100";"0.69";"0";"2.37"
"3";"hc";"k2";"0.00272200000000002";"100";"0.74";"0";"2.46"
"3";"hc";"aic";"0.000161999999999996";"100";"0.72";"0";"2.48"
"3";"hc";"bic";"9.69999999999982e-05";"100";"0.75";"0";"2.46"
"3";"hc";"bds";"4.99999999999979e-05";"100";"0.74";"0";"2.5"
"3";"tabu";"k2";"0.00476800000000001";"100";"0.74";"0.01";"2.54"
"3";"tabu";"aic";"3.99999999999965e-05";"100";"0.72";"0";"2.42"
"3";"tabu";"bic";"0.00128199999999999";"100";"0.84";"0";"2.7"
"3";"tabu";"bds";"2.89999999999981e-05";"100";"0.69";"0";"2.32"
"4";"hc";"k2";"0.00494800000000002";"100";"0.72";"0";"2.5"
"4";"hc";"aic";"9.9999999999978e-07";"100";"0.76";"0";"2.57"
"4";"hc";"bic";"1.99999999999956e-06";"100";"0.75";"0";"2.56"
"4";"hc";"bds";"4.9999999999989e-06";"100";"0.73";"0";"2.41"
"4";"tabu";"k2";"0.00519300000000001";"100";"0.71";"0.01";"2.42"
"4";"tabu";"aic";"0.000316999999999997";"100";"0.7";"0";"2.35"
"4";"tabu";"bic";"0.000197000000000006";"100";"0.79";"0";"2.64"
"4";"tabu";"bds";"9.9999999999978e-07";"100";"0.7";"0";"2.36"
"5";"hc";"k2";"0.00360400000000001";"100";"0.69";"0";"2.39"
"5";"hc";"aic";"0.00174499999999999";"100";"0.75";"0";"2.49"
"5";"hc";"bic";"1.6e-05";"100";"0.79";"0";"2.65"
"5";"hc";"bds";"1.00000000000005e-05";"100";"0.68";"0";"2.36"
"5";"tabu";"k2";"0.00152200000000001";"100";"0.68";"0";"2.31"
"5";"tabu";"aic";"0.000401";"100";"0.73";"0";"2.45"
"5";"tabu";"bic";"9.9999999999978e-07";"100";"0.7";"0";"2.41"
"5";"tabu";"bds";"0";"100";"0.65";"0";"2.31"
"6";"hc";"k2";"0.00353000000000001";"100";"0.72";"0";"2.39"
"6";"hc";"aic";"0.000593000000000006";"100";"0.63";"0";"2.22"
"6";"hc";"bic";"1.00000000000005e-05";"100";"0.7";"0";"2.37"
"6";"hc";"bds";"9.9999999999978e-07";"100";"0.69";"0";"2.37"
"6";"tabu";"k2";"0.00732499999999999";"100";"0.76";"0.01";"2.46"
