"mean";"median";"sd";"best";"worst";"score"
5.24;6.25;2.87;0.03;12.5;NA
3.92;3.69;2.81;0.03;12.5;NA
2.76;2;2.56;0.03;12.5;NA
1.84;1.04;2.31;0;12.5;NA
1.38;0.59;2.52;0;12.5;NA
1.09;0.26;2.51;0;12.5;NA
0.87;0.14;2.39;0;12.5;NA
0.8;0.09;2.37;0;12.5;NA
0.75;0.05;2.37;0;12.5;NA
0.84;0.02;2.67;0;12.5;NA
0.7;0.01;2.37;0;12.5;NA
0.73;0.01;2.48;0;12.5;NA
0.71;0.01;2.39;0;12.5;NA
0.7;0;2.41;0;12.5;NA
0.72;0;2.37;0;12.5;NA
0.75;0;2.54;0;12.5;NA
0.74;0;2.48;0;12.5;NA
0.74;0;2.52;0;12.5;NA
0.69;0;2.38;0;12.5;NA
0.73;0;2.48;0;12.5;NA
0.73;0;2.48;0;12.5;NA
0.7;0;2.38;0;12.5;NA
0.74;0;2.5;0;12.5;NA
0.77;0;2.54;0;12.5;NA
0.74;0;2.42;0;12.5;NA
0.82;0;2.65;0;12.5;NA
0.73;0;2.49;0;12.5;NA
0.79;0;2.65;0;12.5;NA
0.82;0;2.68;0;12.5;NA
0.72;0;2.48;0;12.5;NA
0.72;0;2.44;0;12.5;NA
0.77;0;2.51;0;12.5;NA
0.7;0;2.37;0;12.5;NA
0.82;0;2.7;0;12.5;NA
0.75;0;2.47;0;12.5;NA
0.85;0;2.77;0;12.5;NA
0.71;0;2.48;0;12.5;NA
0.76;0;2.56;0;12.5;NA
0.76;0;2.56;0;12.5;NA
0.71;0;2.44;0;12.5;NA
0.71;0;2.36;0;12.5;NA
0.77;0;2.55;0;12.5;NA
0.65;0;2.3;0;12.5;NA
0.72;0;2.41;0;12.5;NA
0.73;0;2.48;0;12.5;NA
0.77;0;2.46;0;12.5;NA
0.78;0;2.57;0;12.5;NA
0.71;0;2.44;0;12.5;NA
0.71;0;2.38;0;12.5;NA
0.65;0;2.21;0;12.5;NA
0.82;0;2.72;0;12.5;NA
0.73;0;2.47;0;12.5;NA
0.7;0;2.42;0;12.5;NA
0.76;0;2.61;0;12.5;NA
0.74;0;2.49;0;12.5;NA
0.84;0;2.71;0;12.5;NA
0.77;0;2.56;0;12.5;NA
0.72;0;2.5;0;12.5;NA
0.77;0;2.52;0;12.5;NA
0.66;0;2.24;0;12.5;NA
0.76;0;2.58;0;12.5;NA
0.77;0;2.54;0;12.5;NA
0.79;0;2.6;0;12.5;NA
0.81;0;2.65;0;12.5;NA
0.75;0;2.44;0;12.5;NA
0.73;0;2.42;0;12.5;NA
0.78;0;2.62;0;12.5;NA
0.73;0;2.4;0;12.5;NA
0.73;0;2.45;0;12.5;NA
0.77;0;2.49;0;12.5;NA
0.73;0;2.45;0;12.5;NA
0.76;0;2.58;0;12.5;NA
0.79;0;2.61;0;12.5;NA
0.74;0;2.49;0;12.5;NA
0.78;0;2.58;0;12.5;NA
0.75;0;2.47;0;12.5;NA
0.72;0;2.44;0;12.5;NA
0.65;0;2.28;0;12.5;NA
0.75;0;2.45;0;12.5;NA
0.8;0;2.65;0;12.5;NA
0.82;0;2.69;0;12.5;NA
0.69;0;2.4;0;12.5;NA
0.75;0;2.49;0;12.5;NA
0.72;0;2.48;0;12.5;NA
0.78;0;2.56;0;12.5;NA
0.72;0;2.44;0;12.5;NA
0.81;0;2.66;0;12.5;NA
0.71;0;2.43;0;12.5;NA
0.83;0;2.73;0;12.5;NA
0.8;0;2.6;0;12.5;NA
0.86;0;2.79;0;12.5;NA
0.82;0;2.66;0;12.5;NA
0.86;0;2.79;0;12.5;NA
0.67;0;2.29;0;12.5;NA
0.81;0;2.64;0;12.5;NA
0.77;0;2.57;0;12.5;NA
0.7;0;2.38;0;12.5;NA
0.76;0;2.46;0;12.5;NA
0.7;0;2.4;0;12.5;NA
0.75;0;2.49;0;12.5;NA
