"mean";"median";"sd";"best";"worst";"score"
5.68;6.36;2.77;0.02;12.5;NA
4.29;4.46;2.77;0.02;12.5;NA
3.12;2.15;2.7;0.02;12.5;NA
2.03;1.31;2.34;0.02;12.5;NA
1.31;0.63;2.13;0.02;12.5;NA
1.02;0.26;2.23;0.02;12.5;NA
0.99;0.19;2.61;0.02;12.5;NA
0.81;0.11;2.35;0.02;12.5;NA
0.84;0.06;2.58;0.01;12.5;NA
0.82;0.03;2.59;0.01;12.5;NA
0.76;0.02;2.53;0.01;12.5;NA
0.69;0.02;2.27;0.01;12.5;NA
0.76;0.02;2.46;0.01;12.5;NA
0.8;0.02;2.65;0.01;12.5;NA
0.8;0.02;2.62;0.01;12.5;NA
0.73;0.02;2.38;0.01;12.5;NA
0.79;0.01;2.64;0.01;12.5;NA
0.91;0.01;2.96;0.01;12.5;NA
0.82;0.01;2.63;0.01;12.5;NA
0.79;0.01;2.57;0.01;12.5;NA
0.76;0.01;2.46;0.01;12.5;NA
0.74;0.01;2.43;0.01;12.5;NA
0.66;0.01;2.26;0.01;12.5;NA
0.79;0.01;2.52;0.01;12.5;NA
0.75;0.01;2.44;0.01;12.5;NA
0.7;0.01;2.41;0.01;12.5;NA
0.68;0.01;2.35;0.01;12.5;NA
0.8;0.01;2.62;0.01;12.5;NA
0.73;0.01;2.41;0.01;12.5;NA
0.77;0.01;2.53;0.01;12.5;NA
0.81;0.01;2.65;0.01;12.5;NA
0.75;0.01;2.48;0.01;12.5;NA
0.73;0.01;2.4;0.01;12.5;NA
0.75;0.01;2.45;0.01;12.5;NA
0.84;0.01;2.68;0.01;12.5;NA
0.77;0.01;2.54;0.01;12.5;NA
0.69;0.01;2.38;0.01;12.5;NA
0.73;0.01;2.4;0.01;12.5;NA
0.76;0.01;2.48;0.01;12.5;NA
0.79;0.01;2.54;0.01;12.5;NA
0.8;0.01;2.68;0.01;12.5;NA
0.77;0.01;2.62;0.01;12.5;NA
0.73;0.01;2.44;0.01;12.5;NA
0.71;0.01;2.35;0.01;12.5;NA
0.78;0.01;2.52;0.01;12.5;NA
0.78;0.01;2.57;0.01;12.5;NA
0.68;0.01;2.17;0.01;12.5;NA
0.75;0.01;2.57;0.01;12.5;NA
0.8;0.01;2.64;0.01;12.5;NA
0.69;0.01;2.35;0.01;12.5;NA
0.68;0.01;2.26;0.01;12.5;NA
0.78;0.01;2.56;0.01;12.5;NA
0.81;0.01;2.61;0.01;12.5;NA
0.76;0.01;2.49;0.01;12.5;NA
0.72;0.01;2.44;0.01;12.5;NA
0.68;0.01;2.34;0.01;12.5;NA
0.73;0.01;2.39;0.01;12.5;NA
0.76;0.01;2.48;0.01;12.5;NA
0.8;0.01;2.6;0.01;12.5;NA
0.79;0.01;2.58;0.01;12.5;NA
0.74;0.01;2.51;0.01;12.5;NA
0.69;0.01;2.33;0.01;12.5;NA
0.83;0.01;2.73;0.01;12.5;NA
0.78;0.01;2.63;0.01;12.5;NA
0.8;0.01;2.65;0.01;12.5;NA
0.72;0.01;2.42;0.01;12.5;NA
0.78;0.01;2.56;0.01;12.5;NA
0.69;0.01;2.39;0.01;12.5;NA
0.69;0.01;2.38;0.01;12.5;NA
0.77;0.01;2.49;0.01;12.5;NA
0.77;0.01;2.56;0.01;12.5;NA
0.73;0.01;2.41;0.01;12.5;NA
0.77;0.01;2.51;0.01;12.5;NA
0.79;0.01;2.67;0.01;12.5;NA
0.68;0.01;2.39;0.01;12.5;NA
0.75;0.01;2.54;0.01;12.5;NA
0.85;0.01;2.78;0.01;12.5;NA
0.76;0.01;2.47;0.01;12.5;NA
0.79;0.01;2.61;0.01;12.5;NA
0.7;0.01;2.39;0.01;12.5;NA
0.74;0.01;2.45;0.01;12.5;NA
0.75;0.01;2.51;0.01;12.5;NA
0.81;0.01;2.68;0.01;12.5;NA
0.66;0.01;2.29;0.01;12.5;NA
0.84;0.01;2.66;0.01;12.5;NA
0.76;0.01;2.49;0.01;12.5;NA
0.73;0.01;2.45;0.01;12.5;NA
0.79;0.01;2.63;0.01;12.5;NA
0.7;0.01;2.31;0.01;12.5;NA
0.71;0.01;2.38;0.01;12.5;NA
0.85;0.01;2.72;0.01;12.5;NA
0.82;0.01;2.69;0.01;12.5;NA
0.69;0.01;2.37;0.01;12.5;NA
0.73;0.01;2.48;0.01;12.5;NA
0.83;0.01;2.69;0.01;12.5;NA
0.7;0.01;2.4;0.01;12.5;NA
0.77;0.01;2.53;0.01;12.5;NA
0.78;0.01;2.65;0.01;12.5;NA
0.71;0.01;2.45;0.01;12.5;NA
0.78;0.01;2.51;0.01;12.5;NA
