"mean";"median";"sd";"best";"worst";"score"
5.39;6.26;2.83;0.04;12.5;NA
4.08;4.18;2.69;0.04;12.5;NA
2.9;2.26;2.52;0.01;12.5;NA
2.02;1.28;2.39;0.01;12.5;NA
1.42;0.63;2.34;0.01;12.5;NA
1.17;0.32;2.58;0.01;12.5;NA
0.93;0.13;2.41;0.01;12.5;NA
0.79;0.07;2.44;0.01;12.5;NA
0.82;0.06;2.47;0;12.5;NA
0.76;0.04;2.46;0;12.5;NA
0.7;0.04;2.3;0;12.5;NA
0.66;0.01;2.2;0;12.5;NA
0.74;0.01;2.43;0;12.5;NA
0.68;0.01;2.29;0;12.5;NA
0.79;0.01;2.64;0;12.5;NA
0.65;0.01;2.24;0;12.5;NA
0.72;0.01;2.38;0;12.5;NA
0.78;0;2.58;0;12.5;NA
0.74;0;2.48;0;12.5;NA
0.76;0;2.55;0;12.5;NA
0.78;0;2.62;0;12.5;NA
0.73;0;2.39;0;12.5;NA
0.77;0;2.58;0;12.5;NA
0.58;0;2.01;0;12.5;NA
0.77;0;2.66;0;12.5;NA
0.75;0;2.58;0;12.5;NA
0.72;0;2.47;0;12.5;NA
0.71;0;2.44;0;12.5;NA
0.71;0;2.44;0;12.5;NA
0.74;0;2.49;0;12.5;NA
0.82;0;2.7;0;12.5;NA
0.7;0;2.43;0;12.5;NA
0.64;0;2.19;0;12.5;NA
0.7;0;2.37;0;12.5;NA
0.75;0;2.46;0;12.5;NA
0.66;0;2.33;0;12.5;NA
0.78;0;2.6;0;12.5;NA
0.75;0;2.56;0;12.5;NA
0.84;0;2.74;0;12.5;NA
0.82;0;2.73;0;12.5;NA
0.76;0;2.51;0;12.5;NA
0.77;0;2.56;0;12.5;NA
0.67;0;2.36;0;12.5;NA
0.76;0;2.57;0;12.5;NA
0.67;0;2.29;0;12.5;NA
0.7;0;2.34;0;12.5;NA
0.85;0;2.76;0;12.5;NA
0.74;0;2.51;0;12.5;NA
0.8;0;2.58;0;12.5;NA
0.68;0;2.32;0;12.5;NA
0.78;0;2.59;0;12.5;NA
0.69;0;2.4;0;12.5;NA
0.66;0;2.24;0;12.5;NA
0.71;0;2.4;0;12.5;NA
0.71;0;2.35;0;12.5;NA
0.74;0;2.44;0;12.5;NA
0.77;0;2.57;0;12.5;NA
0.74;0;2.44;0;12.5;NA
0.7;0;2.37;0;12.5;NA
0.88;0;2.79;0;12.5;NA
0.8;0;2.63;0;12.5;NA
0.72;0;2.45;0;12.5;NA
0.72;0;2.42;0;12.5;NA
0.8;0;2.65;0;12.5;NA
0.83;0;2.71;0;12.5;NA
0.72;0;2.42;0;12.5;NA
0.73;0;2.48;0;12.5;NA
0.69;0;2.41;0;12.5;NA
0.76;0;2.56;0;12.5;NA
0.79;0;2.65;0;12.5;NA
0.75;0;2.51;0;12.5;NA
0.69;0;2.39;0;12.5;NA
0.69;0;2.35;0;12.5;NA
0.74;0;2.43;0;12.5;NA
0.75;0;2.54;0;12.5;NA
0.68;0;2.36;0;12.5;NA
0.71;0;2.38;0;12.5;NA
0.73;0;2.5;0;12.5;NA
0.75;0;2.57;0;12.5;NA
0.81;0;2.69;0;12.5;NA
0.72;0;2.41;0;12.5;NA
0.76;0;2.46;0;12.5;NA
0.86;0;2.8;0;12.5;NA
0.74;0;2.51;0;12.5;NA
0.78;0;2.62;0;12.5;NA
0.73;0;2.51;0;12.5;NA
0.7;0;2.41;0;12.5;NA
0.8;0;2.6;0;12.5;NA
0.79;0;2.6;0;12.5;NA
0.68;0;2.41;0;12.5;NA
0.76;0;2.55;0;12.5;NA
0.72;0;2.47;0;12.5;NA
0.73;0;2.4;0;12.5;NA
0.77;0;2.53;0;12.5;NA
0.72;0;2.47;0;12.5;NA
0.7;0;2.36;0;12.5;NA
0.91;0;2.92;0;12.5;NA
0.65;0;2.25;0;12.5;NA
0.73;0;2.47;0;12.5;NA
0.74;0;2.44;0;12.5;NA
